reference,collection_name,dataset_title,normal_cell_count,total_cell_count,author_cell_type,embedding,tissue,disease,first_author,journal,year,collection_url,explorer_url,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url,assay_ontology_term_id,cell_type_ontology_term_id,disease_ontology_term_id,development_stage_ontology_term_id,sex_ontology_term_id,is_primary_data,donor_id_count,development_stage_summary,tissue_ontology_term_id
no,Automatic cell-type harmonization and integration across Human Cell Atlas datasets,Pancreas,121916,121916,Curated_annotation,X_umap,islet of Langerhans | pancreas,normal,Xu,Cell,2023,https://cellxgene.cziscience.com/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc,https://cellxgene.cziscience.com/e/31f657dc-1875-4c4b-a5ca-ce63b3ef3a82.cxg/,854c0855-23ad-4362-8b77-6b1639e7a9fc,bf868bea-52be-443c-bbce-bb35249085b9,31f657dc-1875-4c4b-a5ca-ce63b3ef3a82,72e6a74d-8804-4305-81d7-a12b93f2ac0d,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/72e6a74d-8804-4305-81d7-a12b93f2ac0d.h5ad,EFO:0009899 | EFO:0009922 | EFO:0010010,CL:0000115 | CL:0000169 | CL:0000171 | CL:0000173 | CL:0000235 | CL:0002064 | CL:0002079 | CL:0002275 | CL:0002410,PATO:0000461,HsapDv:0000116 | HsapDv:0000117 | HsapDv:0000118 | HsapDv:0000124 | HsapDv:0000129 | HsapDv:0000133 | HsapDv:0000140 | HsapDv:0000142 | HsapDv:0000147 | HsapDv:0000148 | HsapDv:0000153 | HsapDv:0000155 | HsapDv:0000157 | HsapDv:0000168 | HsapDv:0000171,PATO:0000383 | PATO:0000384,TRUE,20,"30-year-old stage: 34,167; 53-year-old stage: 22,288; 59-year-old stage: 10,391; 74-year-old stage: 8,150; 77-year-old stage: 7,967; 35-year-old stage: 7,917; 46-year-old stage: 5,233; 61-year-old stage: 5,200; 24-year-old stage: 5,019; 63-year-old stage: 4,749; 22-year-old stage: 3,913; 39-year-old stage: 3,593; 23-year-old stage: 2,462; 48-year-old stage: 686; 54-year-old stage: 181",UBERON:0000006 | UBERON:0001264
no,Tabula Sapiens,Tabula Sapiens - Pancreas,14140,14140,free_annotation,X_umap_scvi_full_donorassay,endocrine pancreas | exocrine pancreas,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/ff45e623-7f5f-46e3-b47d-56be0341f66b.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,ff45e623-7f5f-46e3-b47d-56be0341f66b,4be7951a-4ae7-4a81-86f1-e2649b304d1c,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/4be7951a-4ae7-4a81-86f1-e2649b304d1c.h5ad,EFO:0009922,CL:0000057 | CL:0000084 | CL:0000097 | CL:0000115 | CL:0000169 | CL:0000171 | CL:0000173 | CL:0000235 | CL:0000236 | CL:0000576 | CL:0000623 | CL:0000624 | CL:0000625 | CL:0000775 | CL:0000786 | CL:0000814 | CL:0000860 | CL:0000875 | CL:0002064 | CL:0002079 | CL:0002275 | CL:0002393 | CL:0002410,PATO:0000461,HsapDv:0000131 | HsapDv:0000150 | HsapDv:0000153,PATO:0000383 | PATO:0000384,FALSE,3,"37-year-old stage: 7,057; 59-year-old stage: 7,042; 56-year-old stage: 41",UBERON:0000016 | UBERON:0000017
no,Tabula Sapiens,Tabula Sapiens - Immune,2819,592317,free_annotation,X_umap_scvi_full_donorassay,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | blood | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/c5d88abe-f23a-45fa-a534-788985e93dad.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,c5d88abe-f23a-45fa-a534-788985e93dad,e62b0182-368f-4875-8ac1-f49e3d5eda60,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/e62b0182-368f-4875-8ac1-f49e3d5eda60.h5ad,EFO:0009922,CL:0000084 | CL:0000097 | CL:0000235 | CL:0000236 | CL:0000576 | CL:0000623 | CL:0000624 | CL:0000625 | CL:0000775 | CL:0000786 | CL:0000814 | CL:0000860 | CL:0000875 | CL:0002393,PATO:0000461,HsapDv:0000131 | HsapDv:0000150 | HsapDv:0000153,PATO:0000383 | PATO:0000384,FALSE,3,"37-year-old stage: 2,724; 59-year-old stage: 87; 56-year-old stage: 8",UBERON:0000016 | UBERON:0000017
no,Tabula Sapiens,Tabula Sapiens - Stromal,632,232684,free_annotation,X_umap_scvi_full_donorassay,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | tongue | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/a68b64d8-aee3-4947-81b7-36b8fe5a44d2.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,a68b64d8-aee3-4947-81b7-36b8fe5a44d2,28d59407-b230-444f-b363-32d60d1bd895,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/28d59407-b230-444f-b363-32d60d1bd895.h5ad,EFO:0009922,CL:0000057 | CL:0002410,PATO:0000461,HsapDv:0000131 | HsapDv:0000150 | HsapDv:0000153,PATO:0000383 | PATO:0000384,FALSE,3,37-year-old stage: 572; 59-year-old stage: 51; 56-year-old stage: 9,UBERON:0000016 | UBERON:0000017
no,Tabula Sapiens,Tabula Sapiens - Epithelium,8364,228032,free_annotation,X_umap_scvi_full_donorassay,anterior part of tongue | anterior segment of eyeball | ascending colon | bladder organ | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | jejunum | kidney | lacrimal gland | large intestine | left ovary | liver | lung | mammary gland | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | stomach | stomach smooth muscle | sublingual gland | submandibular gland | testis | thymus | tongue | trachea | uterus | utricle of membranous labyrinth,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/97a17473-e2b1-4f31-a544-44a60773e2dd.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,97a17473-e2b1-4f31-a544-44a60773e2dd,d785671f-3157-40cf-a035-e9ba0052d3b3,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/d785671f-3157-40cf-a035-e9ba0052d3b3.h5ad,EFO:0009922,CL:0000169 | CL:0000171 | CL:0000173 | CL:0002064 | CL:0002079 | CL:0002275,PATO:0000461,HsapDv:0000131 | HsapDv:0000150 | HsapDv:0000153,PATO:0000383 | PATO:0000384,FALSE,3,"59-year-old stage: 6,615; 37-year-old stage: 1,732; 56-year-old stage: 17",UBERON:0000016 | UBERON:0000017
no,Tabula Sapiens,Tabula Sapiens - Endothelium,2325,73195,free_annotation,X_umap_scvi_full_donorassay,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | myometrium | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/5a11f879-d1ef-458a-910c-9b0bdfca5ebf.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,5a11f879-d1ef-458a-910c-9b0bdfca5ebf,95e4fc1d-c70a-46ea-b459-661c238ddc8e,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/95e4fc1d-c70a-46ea-b459-661c238ddc8e.h5ad,EFO:0009922,CL:0000115,PATO:0000461,HsapDv:0000131 | HsapDv:0000150 | HsapDv:0000153,PATO:0000383 | PATO:0000384,FALSE,3,"37-year-old stage: 2,029; 59-year-old stage: 289; 56-year-old stage: 7",UBERON:0000016 | UBERON:0000017
no,Tabula Sapiens,Tabula Sapiens - All Cells,14140,1136218,free_annotation,X_umap_scvi_full_donorassay,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | blood | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | tongue | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/53d208b0-2cfd-4366-9866-c3c6114081bc.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,53d208b0-2cfd-4366-9866-c3c6114081bc,5a495302-b7cd-4bf9-853e-95627b00bb03,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/5a495302-b7cd-4bf9-853e-95627b00bb03.h5ad,EFO:0009922,CL:0000057 | CL:0000084 | CL:0000097 | CL:0000115 | CL:0000169 | CL:0000171 | CL:0000173 | CL:0000235 | CL:0000236 | CL:0000576 | CL:0000623 | CL:0000624 | CL:0000625 | CL:0000775 | CL:0000786 | CL:0000814 | CL:0000860 | CL:0000875 | CL:0002064 | CL:0002079 | CL:0002275 | CL:0002393 | CL:0002410,PATO:0000461,HsapDv:0000131 | HsapDv:0000150 | HsapDv:0000153,PATO:0000383 | PATO:0000384,TRUE,3,"37-year-old stage: 7,057; 59-year-old stage: 7,042; 56-year-old stage: 41",UBERON:0000016 | UBERON:0000017
no,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns,1814,2544,inferred_cell_type,X_tsne,islet of Langerhans,normal,Enge,Cell,2017,https://cellxgene.cziscience.com/collections/a238e9fa-2bdf-41df-8522-69046f99baff,https://cellxgene.cziscience.com/e/66d15835-5dc8-4e96-b0eb-f48971cb65e8.cxg/,a238e9fa-2bdf-41df-8522-69046f99baff,d0d0eb91-b564-4840-8033-b2d2a0e89b07,66d15835-5dc8-4e96-b0eb-f48971cb65e8,635a80e4-c8fc-4324-980f-4019e84aa067,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/635a80e4-c8fc-4324-980f-4019e84aa067.h5ad,EFO:0008931,CL:0000169 | CL:0000502 | CL:0000622 | CL:0002067 | CL:0002079 | CL:0008019 | unknown,PATO:0000461,HsapDv:0000099 | HsapDv:0000100 | HsapDv:0000115 | HsapDv:0000116 | HsapDv:0000132 | HsapDv:0000138 | HsapDv:0000148 | HsapDv:0000273,PATO:0000383 | PATO:0000384,TRUE,8,21-year-old stage: 505; 38-year-old stage: 474; 5-year-old stage: 331; 22-year-old stage: 286; 44-year-old stage: 277; 54-year-old stage: 272; 1-month-old stage: 221; 6-year-old stage: 178,UBERON:0000006
no,A transcriptional cross species map of pancreatic islet cells,Human pancreatic islet cells,26474,26474,louvain_anno_fine,X_umap,islet of Langerhans,normal,Tritschler,Molecular Metabolism,2022,https://cellxgene.cziscience.com/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e,https://cellxgene.cziscience.com/e/3294d050-6eeb-4a00-b24c-71aacc9b777f.cxg/,0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e,474acfd0-2c68-4b6a-90b2-30d8a0b57e89,3294d050-6eeb-4a00-b24c-71aacc9b777f,00d88707-e33a-4c2a-821a-cdc32a98d050,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/00d88707-e33a-4c2a-821a-cdc32a98d050.h5ad,EFO:0009899,CL:0000169 | CL:0000171 | CL:0000173 | CL:0002275,PATO:0000461,HsapDv:0000116 | HsapDv:0000118 | HsapDv:0000155 | HsapDv:0000157 | HsapDv:0000168,PATO:0000383 | PATO:0000384,TRUE,5,"74-year-old stage: 8,150; 61-year-old stage: 5,200; 63-year-old stage: 4,749; 24-year-old stage: 4,462; 22-year-old stage: 3,913",UBERON:0000006
no,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,32323,69645,cell_label,X_umap,islet of Langerhans,normal | type 1 diabetes mellitus,Fasolino,Nat Metab,2022,https://cellxgene.cziscience.com/collections/51544e44-293b-4c2b-8c26-560678423380,https://cellxgene.cziscience.com/e/37b21763-7f0f-41ae-9001-60bad6e2841d.cxg/,51544e44-293b-4c2b-8c26-560678423380,4cf699df-b205-4ee7-9fa2-bd5eb8de2edd,37b21763-7f0f-41ae-9001-60bad6e2841d,111d6e7d-d3d2-48fd-907a-4d3f8c77ee93,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/111d6e7d-d3d2-48fd-907a-4d3f8c77ee93.h5ad,EFO:0009899 | EFO:0009922,CL:0000115 | CL:0000169 | CL:0000171 | CL:0000173 | CL:0000696 | CL:0002064 | CL:0002079 | CL:0002410 | CL:0005019 | unknown,MONDO:0005147 | PATO:0000461,HsapDv:0000097 | HsapDv:0000098 | HsapDv:0000099 | HsapDv:0000102 | HsapDv:0000104 | HsapDv:0000107 | HsapDv:0000108 | HsapDv:0000109 | HsapDv:0000111 | HsapDv:0000112 | HsapDv:0000115 | HsapDv:0000116 | HsapDv:0000117 | HsapDv:0000118 | HsapDv:0000121 | HsapDv:0000123 | HsapDv:0000129 | HsapDv:0000133 | HsapDv:0000246,PATO:0000383 | PATO:0000384,TRUE,24,"35-year-old stage: 7,917; 14-year-old stage: 7,851; 13-year-old stage: 7,299; 4-year-old stage: 6,678; 23-year-old stage: 4,465; 5-year-old stage: 4,068; 22-year-old stage: 3,809; 39-year-old stage: 3,593; 27-year-old stage: 3,221; 1-year-old stage: 3,095; 29-year-old stage: 2,944; 3-year-old stage: 2,723; 8-year-old stage: 2,374; 10-year-old stage: 2,353; 21-year-old stage: 2,267; 18-year-old stage: 1,884; 15-year-old stage: 1,666; 17-year-old stage: 881; 24-year-old stage: 557",UBERON:0000006
