clusterName,gene
Pericyte/SMC,ENSG00000182732
Pericyte/SMC,ENSG00000151067
Myocyte (smooth muscle),ENSG00000133392
Fibroblast,ENSG00000196569
Adipocyte,ENSG00000166819
Adipocyte,ENSG00000165269
Endothelial cell (lymphatic),ENSG00000138722
Endothelial cell (vascular),ENSG00000127329
Immune (T cell),ENSG00000151883
Immune (NK cell),ENSG00000115523
Immune (NK cell),ENSG00000136250
Immune (B cell),ENSG00000153064
Immune (mast cell),ENSG00000197253
Immune (mast cell),ENSG00000172236
Immune (DC/macrophage),ENSG00000163694
Neuronal,ENSG00000122585
Neuronal,ENSG00000135406
Schwann cell,ENSG00000071991
ICCs,ENSG00000175497
