clusterName,NSForest_markers,f_score
Pericyte/SMC,"['ENSG00000182732', 'ENSG00000151067']",0.5955334987593052
Myocyte (smooth muscle),['ENSG00000133392'],0.9275315621430036
Fibroblast,['ENSG00000196569'],0.8888444926460795
Adipocyte,"['ENSG00000166819', 'ENSG00000165269']",0.9097978227060654
Endothelial cell (lymphatic),['ENSG00000138722'],0.8760724499523356
Endothelial cell (vascular),['ENSG00000127329'],0.7320620555914673
Immune (T cell),['ENSG00000151883'],0.5935613682092555
Immune (NK cell),"['ENSG00000115523', 'ENSG00000136250']",0.6862745098039216
Immune (B cell),['ENSG00000153064'],0.7017543859649122
Immune (mast cell),"['ENSG00000197253', 'ENSG00000172236']",0.8295886622882821
Immune (DC/macrophage),['ENSG00000163694'],0.815474963939831
Neuronal,"['ENSG00000122585', 'ENSG00000135406']",0.8641975308641975
Schwann cell,['ENSG00000071991'],0.8240701154339461
ICCs,['ENSG00000175497'],0.7796610169491526
