clusterName,NSForest_markers,f_score,onTarget,precision,recall
Pericyte/SMC,"['ENSG00000182732', 'ENSG00000151067']",0.5955334987593052,0.7572317123413086,0.7955801104972375,0.2969072164948453
Myocyte (smooth muscle),['ENSG00000133392'],0.9275315621430036,1.0,0.9276402519408232,0.92709705753184
Fibroblast,['ENSG00000196569'],0.8888444926460795,1.0,0.8866850147100693,0.897588625228168
Adipocyte,"['ENSG00000166819', 'ENSG00000165269']",0.9097978227060654,1.0,1.0,0.6685714285714286
Endothelial cell (lymphatic),['ENSG00000138722'],0.8760724499523356,1.0,0.9126117179741808,0.7551355792933443
Endothelial cell (vascular),['ENSG00000127329'],0.7320620555914673,1.0,0.7936925098554534,0.5585696670776819
Immune (T cell),['ENSG00000151883'],0.5935613682092555,0.5591875314712524,0.6344086021505376,0.472
Immune (NK cell),"['ENSG00000115523', 'ENSG00000136250']",0.6862745098039216,1.0,0.8235294117647058,0.4117647058823529
Immune (B cell),['ENSG00000153064'],0.7017543859649122,1.0,0.8,0.4705882352941176
Immune (mast cell),"['ENSG00000197253', 'ENSG00000172236']",0.8295886622882821,1.0,0.8839779005524862,0.665742024965326
Immune (DC/macrophage),['ENSG00000163694'],0.815474963939831,1.0,0.8483386923901394,0.7060660124888493
Neuronal,"['ENSG00000122585', 'ENSG00000135406']",0.8641975308641975,1.0,1.0,0.56
Schwann cell,['ENSG00000071991'],0.8240701154339461,1.0,0.8317152103559871,0.7948453608247422
ICCs,['ENSG00000175497'],0.7796610169491526,1.0,0.8518518518518519,0.5822784810126582
