author_cell_type1,mean_silhouette,std_silhouette,median_silhouette,count
ACKR1+ endothelium,0.6136291,0.22083578,0.6833034,149
B cells,0.5608368,0.1261202,0.5988854,3183
CD36+ endothelium,0.44657353,0.23546624,0.5489272,416
Cycling,0.40628314,0.28255016,0.5124542,151
Doublets,0.23165345,0.3820901,0.3861621,4052
Enterocytes,0.10288804,0.23475717,0.16349666,809
Enteroendocrines,-0.33237055,0.2760054,-0.20959559,18
Fibs,0.46372482,0.28578562,0.58491254,571
Glial cells,0.93172634,0.017547265,0.9356964,175
Goblets,0.52852815,0.17660677,0.5811839,230
ILC,0.31451046,0.3441787,0.5246048,1382
Lymphatics,0.8338575,0.0714519,0.86028826,96
MNP,0.48912802,0.15284151,0.51833254,1635
Mast cells,0.8913776,0.047128435,0.9111947,92
Paneth cells,0.40439603,0.37961635,0.5665494,34
Pericytes,0.32715878,0.3377466,0.49003816,121
Plasma cells,0.5683763,0.13599414,0.6206414,3898
Progenitors,0.08202069,0.27334026,0.172074,382
SM,0.79165107,0.13154641,0.83422023,54
T cells,-0.06347057,0.19804533,-0.04535509,14957
TA,0.096734494,0.23328502,0.18144083,53
