clusterName,NSForest_markers,f_score
T cells,['ENSG00000167286'],0.8303941225541132
ILC,"['ENSG00000111796', 'ENSG00000011600']",0.7433474739683764
Doublets,"['ENSG00000170476', 'ENSG00000166562', 'ENSG00000132002']",0.40966937811598
Plasma cells,"['ENSG00000211677', 'ENSG00000211890']",0.5311767886105605
Paneth cells,"['ENSG00000188257', 'ENSG00000172016']",0.9876543209876544
Mast cells,['ENSG00000172236'],0.925
Glial cells,"['ENSG00000109846', 'ENSG00000123560']",0.9642401021711366
Pericytes,"['ENSG00000131055', 'ENSG00000175183']",0.7917888563049853
SM,"['ENSG00000163017', 'ENSG00000133392']",0.915841584158416
Fibs,['ENSG00000134028'],0.9345260753711458
B cells,['ENSG00000128218'],0.8739918549868242
CD36+ endothelium,"['ENSG00000102755', 'ENSG00000065054']",0.8268633540372671
ACKR1+ endothelium,['ENSG00000213088'],0.9152798789712556
Lymphatics,"['ENSG00000137077', 'ENSG00000133800']",0.940721649484536
Goblets,['ENSG00000134193'],0.878003696857671
TA,"['ENSG00000203760', 'ENSG00000164611']",0.4864864864864865
Enteroendocrines,['ENSG00000100604'],0.9615384615384616
Progenitors,"['ENSG00000102837', 'ENSG00000115386']",0.7568438003220612
Enterocytes,"['ENSG00000170231', 'ENSG00000015413']",0.8706338939197931
Cycling,"['ENSG00000089685', 'ENSG00000176890']",0.6659142212189616
MNP,"['ENSG00000204472', 'ENSG00000110077']",0.8982444179307993
