clusterName,NSForest_markers,f_score,onTarget,precision,recall
T cells,['ENSG00000167286'],0.8303941225541132,1.0,0.8504833995353369,0.7587082971184061
ILC,"['ENSG00000111796', 'ENSG00000011600']",0.7433474739683764,0.475818932056427,0.8107255520504731,0.5578871201157742
Doublets,"['ENSG00000170476', 'ENSG00000166562', 'ENSG00000132002']",0.40966937811598,0.3138234317302704,0.4463902787705504,0.3082428430404738
Plasma cells,"['ENSG00000211677', 'ENSG00000211890']",0.5311767886105605,0.624424934387207,0.655,0.3024628014366342
Paneth cells,"['ENSG00000188257', 'ENSG00000172016']",0.9876543209876544,1.0,1.0,0.9411764705882352
Mast cells,['ENSG00000172236'],0.925,1.0,0.961038961038961,0.8043478260869565
Glial cells,"['ENSG00000109846', 'ENSG00000123560']",0.9642401021711366,1.0,0.993421052631579,0.8628571428571429
Pericytes,"['ENSG00000131055', 'ENSG00000175183']",0.7917888563049853,1.0,0.9818181818181818,0.4462809917355372
SM,"['ENSG00000163017', 'ENSG00000133392']",0.915841584158416,1.0,1.0,0.6851851851851852
Fibs,['ENSG00000134028'],0.9345260753711458,0.6616488099098206,0.9552529182879378,0.8598949211908932
B cells,['ENSG00000128218'],0.8739918549868242,1.0,0.9374732334047108,0.6877159912032673
CD36+ endothelium,"['ENSG00000102755', 'ENSG00000065054']",0.8268633540372671,1.0,0.9770642201834864,0.5120192307692307
ACKR1+ endothelium,['ENSG00000213088'],0.9152798789712556,1.0,0.9453125,0.8120805369127517
Lymphatics,"['ENSG00000137077', 'ENSG00000133800']",0.940721649484536,1.0,1.0,0.7604166666666666
Goblets,['ENSG00000134193'],0.878003696857671,1.0,0.892018779342723,0.8260869565217391
TA,"['ENSG00000203760', 'ENSG00000164611']",0.4864864864864865,0.8151463270187378,0.5454545454545454,0.3396226415094339
Enteroendocrines,['ENSG00000100604'],0.9615384615384616,1.0,1.0,0.8333333333333334
Progenitors,"['ENSG00000102837', 'ENSG00000115386']",0.7568438003220612,0.5200856328010559,0.8744186046511628,0.4921465968586387
Enterocytes,"['ENSG00000170231', 'ENSG00000015413']",0.8706338939197931,0.8562191724777222,0.8808900523560209,0.8318912237330037
Cycling,"['ENSG00000089685', 'ENSG00000176890']",0.6659142212189616,1.0,0.8082191780821918,0.390728476821192
MNP,"['ENSG00000204472', 'ENSG00000110077']",0.8982444179307993,1.0,0.996219281663516,0.6446483180428134
