cluster_name,skos,manual_mapped_cid,cell_ontology_id
C_BEST4,,,CL:4030026
C_EEC,,,CL:0009042
C_ISC,,,CL:0009043
C_TA,,,CL:0009011
C_earlyACC,,,CL:0002071
C_goblet,,,CL:0009039
C_lateACC,,,CL:0002071
C_secretory_prog,,,CL:0011026
C_tuft,,,CL:0009041
SI_AE2,,,CL:1000334
SI_BEST4,,,CL:0002254
SI_EEC,,,CL:0009006
SI_FAE,,,CL:1000353
SI_ISC,,,CL:0009017
SI_TA,,,CL:0009012
SI_TA2,,,CL:0009012
SI_earlyAE,,,CL:1000334
SI_goblet,,,CL:1000495
SI_intermAE,,,CL:1000334
SI_matureAE,,,CL:1000334
SI_paneth,,,CL:1000343
SI_secretory_prog,,,CL:0011026
SI_tuft,,,CL:0019032
