,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
RERE,0.8866209066831149,0.0,0.0,0.0,0.8634847448422358,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0
KIF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VPS13D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHRS3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.0,0.0,0.0,0.0,0.0,0.0,0.9428081787549533,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IFI6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SRSF4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACF1,0.6849094170790452,0.6783913373947144,0.6477801845623896,0.0,0.629863977432251,0.0,0.0,0.0,0.0,0.0,0.6600191914118253,0.6153846153846154,0.0,0.0
ELAVL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FAF1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRDC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECHDC2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLPP3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIA,0.7806309369894174,0.7692307692307693,0.0,0.8274808205091037,0.787284580560831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTGER3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGR1,0.0,0.0,0.0,0.9084362800304706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.8781628058506892
ST6GALNAC3,0.0,0.8918847625072186,0.8654973919575031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0
USP33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TGFBR3,0.9230769230769231,0.0,0.0,0.9296448230743408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPYD,0.0,0.0,0.0,0.0,0.0,0.0,0.9398397436508765,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0
ATP1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TXNIP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE4DIP,0.9384014147978562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0
MCL1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FDPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ASH1L,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYHIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PBX1,0.9230769230769231,0.0,0.0,0.0,0.956330785384545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RABGAP1L,0.0,0.0,0.0,0.0,0.7322654449022733,0.767581031872676,0.0,0.732729971408844,0.7425828667787405,0.0,0.0,0.6923076923076923,0.0,0.0
RASAL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RALGPS2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMC1,0.9230769230769231,0.0,0.0,0.9479735218561612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIBAN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.9578266556446369,0.0,0.0,0.0
HMCN1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNT2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.860130067055042,0.8555541955507718,0.0,0.0,0.0,0.0,0.0
LMOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PPP1R12B,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9317028247393094,0.0,0.0,0.0
BTG2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEKHA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SRGAP2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLXNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MTARC1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42BPA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.9248741819308355,0.0,0.0
CHRM3,0.0,0.0,0.0,0.0,0.9445214959291311,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0
AKT3,0.0,0.0,0.7910403471726638,0.0,0.0,0.0,0.0,0.0,0.8212456932434669,0.0,0.0,0.7746972212424645,0.0,0.7692307692307693
SMYD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.9088592254198514,0.0,0.856110522380242,0.0,0.0
