Broad cell type,mean_silhouette,std_silhouette,median_silhouette,count
Adipocyte,0.7918409,0.26575935,0.8577081,175
Endothelial cell (lymphatic),0.73581517,0.26513377,0.7854071,1217
Endothelial cell (vascular),0.5178993,0.23133941,0.5748917,3244
Fibroblast,0.6902805,0.160845,0.73363984,10409
ICCs,0.70938534,0.45706004,0.8667231,237
Immune (B cell),0.95456177,0.021575727,0.9620103,17
Immune (DC/macrophage),0.6790473,0.18023564,0.7225595,2242
Immune (NK cell),0.24729526,0.24311504,0.33145666,34
Immune (T cell),-0.039518837,0.22066294,0.024113756,250
Immune (mast cell),-0.32750416,0.29884163,-0.17973426,721
Myocyte (smooth muscle),0.5938009,0.23270942,0.6523369,13662
Neuronal,0.96892387,0.0046763793,0.96879166,25
Pericyte/SMC,0.61828595,0.2932864,0.68674386,970
Schwann cell,0.7597384,0.26837122,0.81457007,970
