clusterName,NSForest_markers,f_score,onTarget,precision,recall
Pericyte/SMC,"['RGS6', 'CACNA1C']",0.5955334987593052,0.7572317123413086,0.7955801104972375,0.2969072164948453
Myocyte (smooth muscle),['MYH11'],0.9275315621430036,1.0,0.9276402519408232,0.92709705753184
Fibroblast,['LAMA2'],0.8888444926460795,1.0,0.8866850147100693,0.897588625228168
Adipocyte,"['PLIN1', 'AQP7']",0.9097978227060654,1.0,1.0,0.6685714285714286
Endothelial cell (lymphatic),['MMRN1'],0.8760724499523356,1.0,0.9126117179741808,0.7551355792933443
Endothelial cell (vascular),['PTPRB'],0.7320620555914673,1.0,0.7936925098554534,0.5585696670776819
Immune (T cell),['PARP8'],0.5935613682092555,0.5591875314712524,0.6344086021505376,0.472
Immune (NK cell),"['GNLY', 'AOAH']",0.6862745098039216,1.0,0.8235294117647058,0.4117647058823529
Immune (B cell),['BANK1'],0.7017543859649122,1.0,0.8,0.4705882352941176
Immune (mast cell),"['TPSB2', 'TPSAB1']",0.8295886622882821,1.0,0.8839779005524862,0.665742024965326
Immune (DC/macrophage),['RBM47'],0.815474963939831,1.0,0.8483386923901394,0.7060660124888493
Neuronal,"['NPY', 'PRPH']",0.8641975308641975,1.0,1.0,0.56
Schwann cell,['CDH19'],0.8240701154339461,1.0,0.8317152103559871,0.7948453608247422
ICCs,['DPP10'],0.7796610169491526,1.0,0.8518518518518519,0.5822784810126582
