,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
RERE,2.1268322,0.0,0.0,0.0,1.7663836,0.0,0.0,0.0,0.0,0.0,0.0,1.3684144,0.0,0.0
KIF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6466103,0.0,0.0
VPS13D,1.2927269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHRS3,2.017138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.0,0.0,0.0,0.0,0.0,0.0,2.03806,0.0,0.0,0.0,0.0,1.5152847,0.0,0.0
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6591835
IFI6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6467793,0.0,0.0
SRSF4,1.7871907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACF1,2.4591775,2.409337,2.1028006,0.0,1.8324765,0.0,0.0,0.0,0.0,0.0,2.2410672,1.4875463,0.0,0.0
ELAVL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2452083,0.0,0.0
FAF1,1.6599302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRDC,1.590199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECHDC2,1.7810075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLPP3,0.0,0.0,0.0,2.2646887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN,2.6478302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIA,2.1904974,1.8658609,0.0,2.8332133,2.297829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF11,1.3979567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTGER3,1.590199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGR1,0.0,0.0,0.0,2.5747902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1298262,0.0,1.9350197
ST6GALNAC3,0.0,3.4525568,2.7752175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0773444,0.0,0.0
USP33,1.3465502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6466103,0.0,0.0
TGFBR3,2.505153,0.0,0.0,2.7390177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPYD,0.0,0.0,0.0,0.0,0.0,0.0,2.8385,0.0,0.0,0.0,0.0,2.2199435,0.0,0.0
ATP1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214065,0.0,0.0
TXNIP,2.8790476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE4DIP,2.056254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6466103,0.0,0.0
MCL1,1.4648005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7809621,0.0,0.0
FDPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898882,0.0,0.0
ASH1L,1.6582079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNA,1.590199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYHIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2521894,0.0,0.0,0.0,0.0,0.0,0.0
PBX1,1.3465502,0.0,0.0,0.0,2.3719406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4898767,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2015028,0.0,0.0
RABGAP1L,0.0,0.0,0.0,0.0,2.4744754,2.9020646,0.0,2.4846096,2.6202407,0.0,0.0,1.1891073,0.0,0.0
RASAL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3365805,0.0
RALGPS2,0.0,0.0,0.0,0.0,0.0,3.5074313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUL,2.1929693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMC1,1.1954999,0.0,0.0,1.7675909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIBAN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0504547,0.0,1.916002,0.0,0.0,0.0
HMCN1,0.0,0.0,0.0,0.0,3.1536555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNT2,0.0,0.0,0.0,0.0,2.1271577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,2.6333194,0.0,3.0980668,2.9999237,0.0,0.0,0.0,0.0,0.0
LMOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33321,0.0,0.0,0.0
PPP1R12B,1.948314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.194385,0.0,0.0,0.0
BTG2,1.8480757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEKHA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823475,0.0,0.0
SRGAP2,0.0,0.0,0.0,0.0,0.0,0.0,1.9307234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLXNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823475,0.0,0.0
MTARC1,2.3442135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42BPA,0.0,0.0,2.0196855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0288086,2.0773444,0.0,0.0
CHRM3,0.0,0.0,0.0,0.0,2.663829,0.0,0.0,0.0,0.0,0.0,1.9212083,0.0,0.0,0.0
AKT3,0.0,0.0,2.3344724,0.0,0.0,0.0,0.0,0.0,2.7289443,0.0,0.0,2.0773444,0.0,1.9297203
SMYD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1912912,0.0,2.160399,0.0,1.3684144,0.0,0.0
SNTG2,0.0,2.7123542,2.2654624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCK2,2.1522925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
