gene_ids,T cell of anorectum,colon epithelial cell,myeloid cell,plasma cell,stromal cell of lamina propria of colon
ISG15,1.0,0.0,0.0,0.0,0.0
MRPL20,0.0,0.0,0.0,1.0,0.0
RPL22,0.25,0.0,0.1875,0.5277777761220932,0.3928571343421936
PARK7,0.5,0.0,0.0,0.5,0.75
ENO1,0.75,0.0,0.0,0.0,0.75
CAPZB,0.75,0.0,0.0,0.0,0.75
MICOS10,0.0,0.0,0.0,0.0,1.0
DDOST,0.0,0.0,0.0,1.0,0.0
CDC42,0.25,0.0,0.25,0.25,0.25
HNRNPR,0.0,0.0,0.0,0.0,1.0
ID3,0.0,0.0,0.0,0.0,1.0
RPL11,0.28333333134651184,0.0,0.17499999701976776,0.6160714328289032,0.28333333134651184
PNRC2,0.0,0.0,0.0,0.0,1.0
SRSF10,0.0,0.0,0.0,0.0,1.0
SRRM1,0.5,0.0,0.0,0.5,0.5
RUNX3,1.0,0.0,0.0,0.0,0.0
SYF2,0.0,0.0,0.0,0.0,1.0
RSRP1,0.25,0.25,0.0,0.25,0.625
TMEM50A,0.0,0.0,0.0,0.0,1.0
SH3BGRL3,0.6875,0.0,0.375,0.0,0.0
CD52,1.0,0.0,0.0,0.0,0.0
HMGN2,0.0,0.0,0.0,0.75,0.75
NUDC,0.0,0.0,0.0,0.0,1.0
DNAJC8,0.0,0.0,0.0,0.0,1.0
ATP5IF1,0.25,0.25,0.0,0.25,0.25
LAPTM5,0.75,0.0,0.75,0.0,0.0
EIF3I,0.0,0.0,0.0,0.75,0.75
LCK,1.0,0.0,0.0,0.0,0.0
SFPQ,0.0,0.0,0.0,0.0,1.0
NDUFS5,0.25,0.0,0.25,0.25,0.25
PABPC4,0.0,0.0,0.0,1.0,0.0
YBX1,0.0,0.0,0.5,0.5,0.5
ATP6V0B,0.0,0.0,0.0,1.0,0.0
RPS8,0.2916666716337204,0.0,0.1428571343421936,0.6749999970197678,0.4264705777168274
PRDX1,0.0,0.0,0.5,0.5,0.5
AKR1A1,0.0,0.0,0.0,1.0,0.0
NASP,0.0,0.0,0.0,0.0,1.0
TSPAN1,0.0,1.0,0.0,0.0,0.0
UQCRH,0.25,0.0,0.25,0.7499999701976776,0.25
TMEM59,0.5,0.0,0.0,0.8749999850988388,0.625
PLPP3,0.0,0.0,0.0,0.0,1.0
JUN,0.0,0.5,0.0,0.625,0.8749999850988388
NFIA,0.0,0.0,0.0,0.0,1.0
LEPROT,0.0,0.0,0.0,0.0,1.0
PDE4B,0.0,0.0,0.0,1.0,0.0
SERBP1,0.5,0.0,0.0,0.5,0.5
SRSF11,0.0,0.0,0.0,0.0,1.0
ZRANB2,0.0,0.0,0.0,0.75,0.75
GNG5,0.0,0.0,0.0,0.75,0.75
CCN1,0.0,0.0,0.0,0.0,1.0
SELENOF,0.0,0.0,0.0,1.0,0.0
GBP1,0.0,0.0,0.0,0.0,1.0
GBP2,0.0,0.0,0.0,0.0,1.0
RPL5,0.3571428507566452,0.0,0.25,0.7222222238779068,0.4444444477558136
CNN3,0.0,0.0,0.0,0.0,1.0
VCAM1,0.0,0.0,0.0,0.0,1.0
GSTM3,0.0,0.0,0.0,0.0,1.0
CSF1,0.0,0.0,0.0,0.0,1.0
LAMTOR5,0.0,0.0,0.0,0.75,0.75
CD53,1.0,0.0,0.0,0.0,0.0
RHOC,0.0,0.0,0.0,0.0,1.0
PTPN22,1.0,0.0,0.0,0.0,0.0
BCAS2,0.0,0.0,0.0,1.0,0.0
CSDE1,0.0,0.0,0.0,0.875,0.75
CD2,1.0,0.0,0.0,0.0,0.0
TENT5C,0.0,0.0,0.0,1.0,0.0
LINC02802,0.0,0.0,0.0,0.0,1.0
RBM8A,0.25,0.0,0.25,0.25,0.25
TXNIP,0.0,0.0,0.0,0.75,0.9500000029802322
MRPS21,0.0,0.0,0.0,0.0,1.0
ECM1,0.0,0.0,0.0,0.0,1.0
MCL1,0.25,0.0,0.25,0.5,0.5
CTSS,0.0,0.0,0.0,1.0,0.0
CTSK,0.0,0.0,0.0,0.0,1.0
S100A10,0.25,0.5,0.25,0.0,0.5
S100A11,0.25,0.0,0.5,0.25,0.75
S100A6,0.125,0.6041666567325592,0.3125,0.0,0.762499988079071
S100A4,0.5625,0.0,0.5,0.0,0.794117659330368
S100A13,0.0,0.0,0.0,0.0,1.0
RAB13,0.0,0.0,0.0,0.0,1.0
RPS27,0.47560976445674896,0.0,0.13636362552642822,0.532608687877655,0.36206895112991333
TPM3,0.5,0.5,0.5,0.0,0.0
HAX1,0.0,0.0,0.0,1.0,0.0
KRTCAP2,0.0,0.0,0.0,0.9166666567325592,0.75
SSR2,0.5,0.0,0.0,0.875,0.5
LMNA,0.0,0.25,0.666666641831398,0.25,0.5
FCRL5,0.0,0.0,0.0,1.0,0.0
IFI16,0.0,0.0,0.0,0.0,1.0
TAGLN2,0.25,0.0,0.25,0.25,0.625
CD48,0.75,0.0,0.0,0.75,0.0
SLAMF7,0.0,0.0,0.0,1.0,0.0
TSTD1,0.0,0.0,0.0,1.0,0.0
PFDN2,0.0,0.0,0.0,0.0,1.0
UFC1,0.0,0.0,0.0,1.0,0.0
FCER1G,0.0,0.0,1.0,0.0,0.0
PBX1,0.0,0.0,0.0,0.0,1.0
MGST3,0.0,0.0,0.0,0.75,0.75
TMCO1,0.0,0.0,0.0,0.75,0.75
PRRC2C,0.5,0.0,0.0,0.5,0.5
PRDX6,0.0,0.0,0.0,0.0,1.0
QSOX1,0.0,0.0,0.0,0.0,1.0
GLUL,0.0,0.0,0.75,0.0,0.75
ARPC5,0.75,0.0,0.0,0.0,0.75
RGS1,0.625,0.0,0.5,0.625,0.0
CFH,0.0,0.0,0.0,0.0,1.0
PTPRC,1.0,0.0,0.0,0.0,0.0
ELF3,0.0,1.0,0.0,0.0,0.0
BTG2,0.25,0.25,0.0,0.5833333134651184,0.5833333134651184
SNRPE,0.0,0.0,0.0,0.0,1.0
PPP1R15B,0.0,0.0,0.0,0.0,1.0
NUCKS1,0.0,0.0,0.0,0.0,1.0
PIGR,0.0,1.0,0.0,0.0,0.0
ATF3,0.0,0.0,0.0,0.0,1.0
EPHX1,0.0,0.0,0.0,0.0,1.0
H3-3A,0.25,0.0,0.1666666567325592,0.3499999940395355,0.5357142686843872
ARF1,0.5,0.0,0.0,0.5,0.5
GUK1,0.0,0.0,0.0,1.0,0.0
TOMM20,0.5,0.0,0.0,0.5,0.5
ARID4B,0.75,0.0,0.0,0.0,0.75
HNRNPU,0.0,0.0,0.0,0.0,1.0
RPS7,0.32499998807907104,0.0,0.2083333283662796,0.6184210628271103,0.3958333432674408
ENSG00000235576,1.0,0.0,0.0,0.0,0.0
ID2,0.75,0.0,0.0,0.0,0.75
PDIA6,0.0,0.0,0.0,1.0,0.0
LAPTM4A,0.0,0.0,0.5,0.5,0.8333333134651184
