gene_ids,T cell of anorectum,colon epithelial cell,myeloid cell,plasma cell,stromal cell of lamina propria of colon
ISG15,1.0,0.0,0.0,0.0,0.0
MRPL20,0.0,0.0,0.0,1.0,0.0
RPL22,5.0,1.0,4.0,9.0,7.0
PARK7,1.0,0.0,0.0,1.0,2.0
ENO1,1.0,0.0,0.0,0.0,1.0
CAPZB,1.0,0.0,0.0,0.0,1.0
MICOS10,0.0,0.0,0.0,0.0,1.0
DDOST,0.0,0.0,0.0,2.0,0.0
CDC42,1.0,0.0,1.0,1.0,1.0
HNRNPR,0.0,0.0,0.0,0.0,1.0
ID3,0.0,0.0,0.0,0.0,5.0
RPL11,15.0,3.0,10.0,28.0,15.0
PNRC2,0.0,0.0,0.0,0.0,1.0
SRSF10,0.0,0.0,0.0,0.0,1.0
SRRM1,1.0,0.0,0.0,1.0,1.0
RUNX3,1.0,0.0,0.0,0.0,0.0
SYF2,0.0,0.0,0.0,0.0,1.0
RSRP1,1.0,1.0,0.0,1.0,2.0
TMEM50A,0.0,0.0,0.0,0.0,1.0
SH3BGRL3,4.0,1.0,2.0,1.0,1.0
CD52,4.0,0.0,0.0,0.0,0.0
HMGN2,0.0,0.0,0.0,1.0,1.0
NUDC,0.0,0.0,0.0,0.0,1.0
DNAJC8,0.0,0.0,0.0,0.0,1.0
ATP5IF1,1.0,1.0,0.0,1.0,1.0
LAPTM5,1.0,0.0,1.0,0.0,0.0
EIF3I,0.0,0.0,0.0,1.0,1.0
LCK,1.0,0.0,0.0,0.0,0.0
SFPQ,0.0,0.0,0.0,0.0,1.0
NDUFS5,1.0,0.0,1.0,1.0,1.0
PABPC4,0.0,0.0,0.0,1.0,0.0
YBX1,0.0,0.0,1.0,1.0,1.0
ATP6V0B,0.0,0.0,0.0,1.0,0.0
RPS8,12.0,3.0,7.0,30.0,17.0
PRDX1,0.0,0.0,2.0,2.0,2.0
AKR1A1,0.0,0.0,0.0,1.0,0.0
NASP,0.0,0.0,0.0,0.0,1.0
TSPAN1,0.0,1.0,0.0,0.0,0.0
UQCRH,1.0,0.0,1.0,3.0,1.0
TMEM59,1.0,0.0,0.0,6.0,2.0
PLPP3,0.0,0.0,0.0,0.0,1.0
JUN,0.0,1.0,0.0,2.0,6.0
NFIA,0.0,0.0,0.0,0.0,1.0
LEPROT,0.0,0.0,0.0,0.0,1.0
PDE4B,0.0,0.0,0.0,1.0,0.0
SERBP1,1.0,0.0,0.0,1.0,1.0
SRSF11,0.0,0.0,0.0,0.0,1.0
ZRANB2,0.0,0.0,0.0,1.0,1.0
GNG5,0.0,0.0,0.0,1.0,1.0
CCN1,0.0,0.0,0.0,0.0,1.0
SELENOF,0.0,0.0,0.0,1.0,0.0
GBP1,0.0,0.0,0.0,0.0,1.0
GBP2,0.0,0.0,0.0,0.0,1.0
RPL5,7.0,0.0,4.0,18.0,9.0
CNN3,0.0,0.0,0.0,0.0,1.0
VCAM1,0.0,0.0,0.0,0.0,1.0
GSTM3,0.0,0.0,0.0,0.0,1.0
CSF1,0.0,0.0,0.0,0.0,1.0
LAMTOR5,0.0,0.0,0.0,1.0,1.0
CD53,1.0,0.0,0.0,0.0,0.0
RHOC,0.0,0.0,0.0,0.0,1.0
PTPN22,1.0,0.0,0.0,0.0,0.0
BCAS2,0.0,0.0,0.0,1.0,0.0
CSDE1,0.0,0.0,0.0,2.0,1.0
CD2,1.0,0.0,0.0,0.0,0.0
TENT5C,0.0,0.0,0.0,3.0,0.0
LINC02802,0.0,0.0,0.0,0.0,1.0
RBM8A,1.0,0.0,1.0,1.0,1.0
TXNIP,0.0,0.0,0.0,1.0,5.0
MRPS21,0.0,0.0,0.0,0.0,1.0
ECM1,0.0,0.0,0.0,0.0,1.0
MCL1,1.0,0.0,1.0,2.0,2.0
CTSS,0.0,0.0,0.0,1.0,0.0
CTSK,0.0,0.0,0.0,0.0,1.0
S100A10,1.0,2.0,1.0,0.0,2.0
S100A11,1.0,0.0,2.0,1.0,4.0
S100A6,2.0,12.0,4.0,1.0,20.0
S100A4,4.0,0.0,3.0,0.0,8.5
S100A13,0.0,0.0,0.0,0.0,3.0
RAB13,0.0,0.0,0.0,0.0,1.0
RPS27,41.0,5.0,11.0,46.0,29.0
TPM3,1.0,1.0,1.0,0.0,0.0
HAX1,0.0,0.0,0.0,1.0,0.0
KRTCAP2,0.0,0.0,0.0,3.0,1.0
SSR2,1.0,0.0,0.0,4.0,1.0
LMNA,0.0,1.0,3.0,1.0,2.0
FCRL5,0.0,0.0,0.0,1.0,0.0
IFI16,0.0,0.0,0.0,0.0,2.0
TAGLN2,1.0,0.0,1.0,1.0,2.0
CD48,1.0,0.0,0.0,1.0,0.0
SLAMF7,0.0,0.0,0.0,1.0,0.0
TSTD1,0.0,0.0,0.0,1.0,0.0
PFDN2,0.0,0.0,0.0,0.0,1.0
UFC1,0.0,0.0,0.0,1.0,0.0
FCER1G,0.0,0.0,2.0,0.0,0.0
PBX1,0.0,0.0,0.0,0.0,1.0
MGST3,0.0,0.0,0.0,1.0,1.0
TMCO1,0.0,0.0,0.0,1.0,1.0
PRRC2C,1.0,0.0,0.0,1.0,1.0
PRDX6,0.0,0.0,0.0,0.0,1.0
QSOX1,0.0,0.0,0.0,0.0,1.0
GLUL,0.0,0.0,1.0,0.0,1.0
ARPC5,1.0,0.0,0.0,0.0,1.0
RGS1,2.0,0.0,1.0,2.0,0.0
CFH,0.0,0.0,0.0,0.0,3.0
PTPRC,3.0,0.0,0.0,0.0,0.0
ELF3,0.0,5.0,0.0,0.0,0.0
BTG2,1.0,1.0,0.0,3.0,3.0
SNRPE,0.0,0.0,0.0,0.0,0.5
PPP1R15B,0.0,0.0,0.0,0.0,1.0
NUCKS1,0.0,0.0,0.0,0.0,2.0
PIGR,0.0,5.0,0.0,0.0,0.0
ATF3,0.0,0.0,0.0,0.0,1.0
EPHX1,0.0,0.0,0.0,0.0,1.0
H3-3A,4.0,1.0,3.0,5.0,7.0
ARF1,1.0,0.0,0.0,1.0,1.0
GUK1,0.0,0.0,0.0,1.0,0.0
TOMM20,1.0,0.0,0.0,1.0,1.0
ARID4B,1.0,0.0,0.0,0.0,1.0
HNRNPU,0.0,0.0,0.0,0.0,1.0
RPS7,10.0,1.0,6.0,19.0,12.0
ENSG00000235576,1.0,0.0,0.0,0.0,0.0
ID2,1.0,0.0,0.0,0.0,1.0
PDIA6,0.0,0.0,0.0,3.0,0.0
LAPTM4A,0.0,0.0,1.0,1.0,3.0
RHOB,0.0,0.0,0.0,0.0,1.0
SF3B6,0.0,0.0,0.0,1.0,1.0
OST4,2.0,0.0,1.0,6.0,3.0
ATRAID,0.0,0.0,0.0,1.0,1.0
MRPL33,0.0,0.0,0.0,0.0,1.0
PPP1CB,1.0,0.0,0.0,0.0,0.0
YPEL5,1.0,0.0,0.0,3.0,0.0
