clusterName,NSForest_markers,f_score,onTarget,precision,recall
Monocyte,"['FCN1', 'S100A9', 'S100A4']",0.3094059405940594,0.4135209023952484,0.373134328358209,0.1838235294117647
Macrophage,"['C1QA', 'C1QB']",0.6702392047219633,0.4305926859378814,0.760352422907489,0.4546891464699684
M2 Macrophage,"['LIPA', 'DBNL']",0.7142857142857143,1.0,1.0,0.3333333333333333
Dendritic cell,"['HLA-DQA1', 'HLA-DPA1', 'HLA-DPB1']",0.540722761596548,0.4480781257152557,0.5862573099415205,0.4125514403292181
Fetal neuron,"['UCHL1', 'SYT1']",0.9433962264150944,1.0,1.0,0.7692307692307693
Endothelial cell,"['PCAT19', 'TM4SF1']",0.3021148036253776,0.653885543346405,0.3278688524590163,0.2298850574712643
Endothelial cell (APC),"['ACKR1', 'IFI27']",0.6988069150231312,0.6455903649330139,0.875,0.3870532703978422
Smooth muscle cell,['ACTA2'],0.8275645059786029,1.0,0.8915254237288136,0.6430317848410758
Fetal Neuron,"['VMP1', 'S100B']",0.6410256410256411,0.8559457659721375,1.0,0.2631578947368421
Fetal stromal cell,"['HSPA1B', 'COL1A1']",0.1875,0.3700976371765136,0.375,0.0625
Fetal mesenchymal progenitor,"['HSP90B1', 'COL1A1']",0.4545454545454545,0.3829491138458252,1.0,0.1428571428571428
Endothelial cell (endothelial to mesenchymal transition),"['COL6A1', 'COL3A1']",0.5072463768115942,0.4571705460548401,0.875,0.1891891891891892
Fibroblast,"['TIMP3', 'CFD']",0.7518579686209744,1.0,0.8935230618253189,0.4600808489135927
Stromal cell,"['C3', 'IFITM2']",0.510958904109589,0.3438753187656402,0.6406182911120653,0.2823618470855412
Enterocyte progenitor,['LGALS4'],0.4481363304158719,0.2868047952651977,0.4577567370721049,0.41338485570994
Fetal enterocyte,"['MT1G', 'TXN', 'RPLP2', 'COX7C']",0.0641025641025641,0.1384683847427368,0.2,0.0172413793103448
Hepatocyte/Endodermal cell,"['APOC3', 'NEAT1']",0.3125,0.6878522038459778,1.0,0.0833333333333333
Fetal epithelial progenitor,"['SRP14', 'RPL10A', 'RPL13']",0.3333333333333333,0.1292057782411575,1.0,0.0909090909090909
B cell (Plasmocyte),['JCHAIN'],0.9263403263403264,1.0,0.9303886374278132,0.9104933557354512
B cell,"['CD52', 'CD74']",0.5666985036612544,0.4118357002735138,0.672120830711139,0.3482230192370394
T cell,"['CCL5', 'TMSB4X']",0.6356288937531571,0.5854917764663696,0.9402241594022416,0.2768610194352768
CB CD34+,"['UBE2I', 'LSM8', 'TUBB']",0.5,1.0,1.0,0.1666666666666666
Mast cell,['TPSB2'],0.8497088791848617,1.0,0.8696461824953445,0.7783333333333333
Neutrophil,"['S100A12', 'S100P']",0.6129032258064516,1.0,0.95,0.2533333333333333
Epithelial cell (intermediated),"['IGFBP3', 'ACOT7']",0.6818181818181818,1.0,0.75,0.5
Primordial germ cell,"['MDK', 'ENSG00000227081']",0.5555555555555556,0.8493121862411499,1.0,0.2
Basal cell,['S100A2'],0.8631697546319479,1.0,0.8995433789954338,0.7429956896551724
Stratified epithelial cell,['SCGB3A1'],0.8506616257088847,1.0,0.9246575342465754,0.6443914081145584
Goblet cell,['TFF2'],0.7825563719280466,1.0,0.8850286532951289,0.5348484848484848
Gastric endocrine cell,"['PTBP1', 'NOL7', 'HSPA9', 'KLF10']",0.5555555555555556,1.0,1.0,0.2
Gastric chief cell,"['PGA5', 'PGC']",0.9682176343707356,1.0,0.9916591523895402,0.8845767142569877
Fetal endocrine cell,['CHGA'],0.8765060240963856,1.0,0.8804841149773072,0.8609467455621301
Epithelial cell,"['CEACAM7', 'SLC26A3']",0.7198221092757306,1.0,0.8145219266714594,0.4913269731136166
Enterocyte,"['ANPEP', 'PHGR1']",0.6817008090893442,0.3268856406211853,0.8698517298187809,0.365482233502538
