clusterName,NSForest_markers,f_score,onTarget,precision,recall
Mucous,"['BPIFB2', 'AGR2']",0.8876629889669007,1.0,0.9672131147540984,0.6679245283018868
Schwann Cells,['NRXN1'],0.7530120481927711,1.0,0.8620689655172413,0.5
Fibroblasts,"['DCN', 'APOD']",0.956059045657398,1.0,0.9911032028469752,0.837593984962406
Myofibroblasts,"['NOTCH3', 'TAGLN']",0.6857142857142857,0.7585663795471191,0.8571428571428571,0.3809523809523809
Myoepithelial,"['KRT17', 'MYH11']",0.8397932816537468,1.0,0.9653465346534652,0.5524079320113314
Endothelial,"['IFI27', 'EPAS1']",0.8784035807534502,1.0,0.991578947368421,0.6030729833546735
Serous,"['PPP1R1B', 'CLDN10', 'LINC01829', 'SMCO4']",0.8445004992380052,1.0,0.9227677289692794,0.6305670001961938
Seromucous,['LPO'],0.5142822851656265,0.5342082977294922,0.5922598479612993,0.3368710691823899
RBCs,"['HBB', 'HBA2']",0.9621212121212122,1.0,0.9621212121212122,0.9621212121212122
B Cells,"['ENSG00000211895', 'JCHAIN']",0.9096858638743456,1.0,0.9297658862876256,0.8373493975903614
T Cells,['CCL5'],0.8601676224084693,1.0,0.911214953271028,0.7027027027027027
Macrophages,"['C1QA', 'TYROBP']",0.8575031525851198,1.0,0.9855072463768116,0.5643153526970954
Ionocytes,['ASCL3'],0.859375,1.0,0.9166666666666666,0.6875
Striated,['HSD11B2'],0.6433823529411765,0.8314248919487,0.7990867579908676,0.3615702479338843
Basal,"['S100A2', 'KRT5']",0.7584683357879234,0.7345016002655029,0.8765957446808511,0.492822966507177
Intercalated,"['LCN2', 'DMBT1']",0.6377799415774099,1.0,0.6822916666666666,0.5057915057915058
