clusterName,NSForest_markers,f_score
Mucous,"['BPIFB2', 'AGR2']",0.8876629889669007
Schwann Cells,['NRXN1'],0.7530120481927711
Fibroblasts,"['DCN', 'APOD']",0.956059045657398
Myofibroblasts,"['NOTCH3', 'TAGLN']",0.6857142857142857
Myoepithelial,"['KRT17', 'MYH11']",0.8397932816537468
Endothelial,"['IFI27', 'EPAS1']",0.8784035807534502
Serous,"['PPP1R1B', 'CLDN10', 'LINC01829', 'SMCO4']",0.8445004992380052
Seromucous,['LPO'],0.5142822851656265
RBCs,"['HBB', 'HBA2']",0.9621212121212122
B Cells,"['ENSG00000211895', 'JCHAIN']",0.9096858638743456
T Cells,['CCL5'],0.8601676224084693
Macrophages,"['C1QA', 'TYROBP']",0.8575031525851198
Ionocytes,['ASCL3'],0.859375
Striated,['HSD11B2'],0.6433823529411765
Basal,"['S100A2', 'KRT5']",0.7584683357879234
Intercalated,"['LCN2', 'DMBT1']",0.6377799415774099
