clusterName,gene
B_CD27neg,TCL1A
B_CD27neg,CD79A
T_CD4,CD3D
T_CD4,LTB
NK_T_CD8_Cytotoxic,GNLY
NK_T_CD8_Cytotoxic,KLRB1
T_CD8,GZMA
T_CD8,CCL4
Mast_cell,TPSAB1
Mono_macro,CD14
Mono_macro,TYROBP
Dendritic_Cells,FCER1A
Epi_upper,TMPRSS11B
Epi_upper,KRT78
Epi_upper,ERO1A
Epi_stratified,GPR15LG
Epi_dividing,UBE2C
Glands_mucous,BPIFB2
Glands_mucous,MUC5B
Glands_duct,CCL28
Glands_duct,RARRES1
Epi_basal,SCPEP1
Epi_basal,KRT15
Epi_basal,KRT14
Epi_suprabasal,IL1R2
Epi_suprabasal,KRT15
Stroma,MFAP4
Lymph_vessel,CCL21
Lymph_vessel,MMRN1
Blood_vessel,ACKR1
B_CD27pos,CD79A
B_CD27pos,LTB
