clusterName,NSForest_markers,f_score,onTarget,precision,recall
B_CD27neg,"['TCL1A', 'CD79A']",0.7568149210903874,0.8065736293792725,0.9055793991416308,0.4567099567099567
T_CD4,"['CD3D', 'LTB']",0.6002060793405462,0.3600930571556091,0.7361769352290679,0.3451851851851852
NK_T_CD8_Cytotoxic,"['GNLY', 'KLRB1']",0.6424581005586593,1.0,0.8214285714285714,0.3432835820895522
T_CD8,"['GZMA', 'CCL4']",0.647887323943662,1.0,0.7630331753554502,0.4040150564617314
Mast_cell,['TPSAB1'],0.9333333333333332,1.0,0.918032786885246,1.0
Mono_macro,"['CD14', 'TYROBP']",0.4654036243822075,0.4259594082832336,0.5136363636363637,0.3383233532934132
Dendritic_Cells,['FCER1A'],0.8205128205128205,1.0,0.8715953307392996,0.6646884272997032
Epi_upper,"['TMPRSS11B', 'KRT78', 'ERO1A']",0.873700342568664,1.0,0.964025198938992,0.6355191256830601
Epi_stratified,['GPR15LG'],0.8198821995413875,1.0,0.8770340681362725,0.6503596267015396
Epi_dividing,['UBE2C'],0.7618774614886086,1.0,0.8360229759299781,0.5623735050597977
Glands_mucous,"['BPIFB2', 'MUC5B']",0.9360730593607306,1.0,1.0,0.7454545454545455
Glands_duct,"['CCL28', 'RARRES1']",0.8097928436911488,1.0,0.9662921348314608,0.4914285714285714
Epi_basal,"['SCPEP1', 'KRT15', 'KRT14']",0.5602923264311814,0.2520331740379333,0.8288288288288288,0.2440318302387268
Epi_suprabasal,"['IL1R2', 'KRT15']",0.6478350606007377,0.6843055486679077,0.6640783254557732,0.5901
Stroma,['MFAP4'],0.8590785907859079,1.0,0.946268656716418,0.6277227722772277
Lymph_vessel,"['CCL21', 'MMRN1']",0.7728706624605678,1.0,0.9245283018867924,0.4666666666666667
Blood_vessel,['ACKR1'],0.8738901677079908,1.0,0.9275741710296684,0.7096128170894526
B_CD27pos,"['CD79A', 'LTB']",0.576072821846554,0.3600930571556091,0.5768229166666666,0.5730918499353169
