clusterName,NSForest_markers,f_score
B_CD27neg,"['TCL1A', 'CD79A']",0.7568149210903874
T_CD4,"['CD3D', 'LTB']",0.6002060793405462
NK_T_CD8_Cytotoxic,"['GNLY', 'KLRB1']",0.6424581005586593
T_CD8,"['GZMA', 'CCL4']",0.647887323943662
Mast_cell,['TPSAB1'],0.9333333333333332
Mono_macro,"['CD14', 'TYROBP']",0.4654036243822075
Dendritic_Cells,['FCER1A'],0.8205128205128205
Epi_upper,"['TMPRSS11B', 'KRT78', 'ERO1A']",0.873700342568664
Epi_stratified,['GPR15LG'],0.8198821995413875
Epi_dividing,['UBE2C'],0.7618774614886086
Glands_mucous,"['BPIFB2', 'MUC5B']",0.9360730593607306
Glands_duct,"['CCL28', 'RARRES1']",0.8097928436911488
Epi_basal,"['SCPEP1', 'KRT15', 'KRT14']",0.5602923264311814
Epi_suprabasal,"['IL1R2', 'KRT15']",0.6478350606007377
Stroma,['MFAP4'],0.8590785907859079
Lymph_vessel,"['CCL21', 'MMRN1']",0.7728706624605678
Blood_vessel,['ACKR1'],0.8738901677079908
B_CD27pos,"['CD79A', 'LTB']",0.576072821846554
