,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.7587552279233932,0.0,0.7576043784618378,0.750217467546463,0.0,0.0,0.7519006371498108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.7792659193277359
MRPL20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,0.1492431342601776,0.2461699962615967,0.0938429594039917,0.13104589879512787,0.046632468700408936,0.006915843486785889,0.08554238080978394,0.14384290277957917,0.05587722659111023,0.18058080673217775,0.16463324129581453,0.1152951955795288,0.20257794559001924,0.09938564002513886,0.0,0.08124142289161682,0.029407131671905517,0.14454243183135987,0.08762370944023132,0.19258969128131867,0.1275557428598404
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.9116995990276336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9585859060287476
PARK7,0.0,0.0,0.0,0.7462277591228486,0.0,0.0,0.7581032752990723,0.0,0.0,0.7307864695787429,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7047934263944626,0.7526572048664093,0.0,0.7557712465524673
ENO1,0.0,0.0,0.0,0.7776945441961288,0.0,0.7373048484325408,0.7,0.0,0.0,0.0,0.0,0.0,0.7244999945163727,0.0,0.0,0.0,0.0,0.759695366024971,0.7577972829341888,0.0,0.7517331689596176
CTNNBIP1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.0,0.0,0.0,0.8585385859012604,0.0,0.0,0.8930403470993042,0.0,0.0,0.85,0.0,0.0,0.8639208853244782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICOS10,0.0,0.0,0.0,0.7505947440862656,0.0,0.0,0.7587469011545181,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7971043974161148,0.8611976057291031,0.0,0.7969035387039185
NBL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9522748321294785,0.0,0.0
PLA2G2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMK2N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9684752523899078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
HSPG2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42,0.6699907720088959,0.0,0.6369881331920624,0.6516452610492707,0.0,0.0,0.6119387865066528,0.0,0.0,0.600716495513916,0.0,0.7043636381626129,0.6398832619190216,0.0,0.0,0.0,0.0,0.6,0.6799705356359482,0.0,0.0
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.0,0.0,0.0,0.95,0.0,0.0,0.9681784331798553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCEA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9653590649366379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
ID3,0.95,0.0,0.9542542904615402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL11,0.09793587923049926,0.23799776732921601,0.061461913585662845,0.10364033579826355,0.05152206718921661,0.013534846901893615,0.0712062418460846,0.06771272122859955,0.012667489051818848,0.1192976862192154,0.12495301067829132,0.04605966508388519,0.11802142262458801,0.09792684912681579,0.0,0.03517944812774658,0.013479653000831603,0.1275693267583847,0.04971332550048828,0.16372184753417968,0.10322960317134858
SRSF10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRRM1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766239613294602
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYF2,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9737972676753998
TMEM50A,0.0,0.0,0.9137802392244339,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9322382241487503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.0,0.0,0.9103569716215134,0.0,0.0,0.913475725054741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
ZNF593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3BGRL3,0.3176030248403549,0.28296664655208587,0.30286832749843595,0.40628435015678405,0.25,0.2731321007013321,0.31921408176422117,0.0,0.0,0.574512529373169,0.31071612536907195,0.3841535121202469,0.43594069480895997,0.3710139185190201,0.2779079407453537,0.0,0.0,0.2669556766748428,0.0,0.4007230818271637,0.49394799768924713
CD52,0.0,0.8650893032550812,0.0,0.8195326954126358,0.0,0.0,0.0,0.0,0.0,0.0,0.8300417006015778,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.836490061879158,0.0
HMGN2,0.0,0.0,0.0,0.7896981924772263,0.0,0.0,0.6848974615335465,0.6360319912433624,0.0,0.6234387636184693,0.0,0.0,0.601717010140419,0.0,0.0,0.6,0.0,0.6096832662820816,0.6720054835081101,0.0,0.7738672167062759
SFN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUDC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASF2,0.0,0.0,0.9524103343486786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0
IFI6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5IF1,0.0,0.0,0.0,0.7184486448764801,0.0,0.7538061648607254,0.7465108335018158,0.0,0.0,0.7347911715507507,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7525272607803345,0.0,0.0,0.785694745182991
LAPTM5,0.0,0.9081891387701034,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8727722316980362,0.0,0.0,0.0,0.0,0.0,0.0,0.868335285782814,0.0
SERINC2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TINAGL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PTP4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KHDRBS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3I,0.0,0.0,0.0,0.0,0.0,0.0,0.9201101571321487,0.0,0.0,0.9052421152591705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
MARCKSL1,0.8,0.0,0.0,0.0,0.0,0.0,0.888025164604187,0.0,0.0,0.8146416753530502,0.0,0.8481973230838775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8096400201320648
RBBP4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM54,0.0,0.0,0.0,0.0,0.0,0.9559359878301621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
GJA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SFPQ,0.0,0.0,0.0,0.9060792475938797,0.0,0.0,0.9048198193311692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
PSMB2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THRAP3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEAF6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.5070285946130753,0.0,0.5125007480382919,0.5255076855421066,0.0,0.5303481996059418,0.5765311002731324,0.0,0.0,0.5739232927560807,0.0,0.0,0.5,0.0,0.0,0.557707017660141,0.0,0.6170029878616333,0.6063822716474533,0.0,0.573175522685051
CAP1,0.0,0.0,0.0,0.9330800652503968,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9258252412080765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
