software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type1,Mast cells,92,0.925,0.961038961038961,0.8043478260869565,32363,3,18,74,1,['ENSG00000172236'],"['ENSG00000172236', 'ENSG00000197253', 'ENSG00000163751', 'ENSG00000149534', 'ENSG00000163106', 'ENSG00000157404', 'ENSG00000026508', 'ENSG00000109321', 'ENSG00000118503', 'ENSG00000160789']",1.0
4.1,author_cell_type1,Enterocytes,809,0.8706338939197931,0.8808900523560209,0.8318912237330037,31558,91,136,673,2,"['ENSG00000170231', 'ENSG00000015413']","['ENSG00000114113', 'ENSG00000110244', 'ENSG00000170231', 'ENSG00000166825', 'ENSG00000015413', 'ENSG00000136872', 'ENSG00000243955', 'ENSG00000124253', 'ENSG00000163586', 'ENSG00000095932']",0.8562191724777222
4.1,author_cell_type1,Progenitors,382,0.7568438003220612,0.8744186046511628,0.4921465968586387,32049,27,194,188,2,"['ENSG00000102837', 'ENSG00000115386']","['ENSG00000248144', 'ENSG00000102837', 'ENSG00000008394', 'ENSG00000115386', 'ENSG00000165828', 'ENSG00000162896', 'ENSG00000127324', 'ENSG00000106541', 'ENSG00000176153', 'ENSG00000119888']",0.5200856328010559
4.1,author_cell_type1,Enteroendocrines,18,0.9615384615384616,1.0,0.8333333333333334,32440,0,3,15,1,['ENSG00000100604'],"['ENSG00000079689', 'ENSG00000100604', 'ENSG00000163497', 'ENSG00000104112', 'ENSG00000163499', 'ENSG00000166922', 'ENSG00000125820', 'ENSG00000176840', 'ENSG00000185002', 'ENSG00000007372']",1.0
4.1,author_cell_type1,TA,53,0.4864864864864865,0.5454545454545454,0.3396226415094339,32390,15,35,18,2,"['ENSG00000203760', 'ENSG00000164611']","['ENSG00000131747', 'ENSG00000134057', 'ENSG00000203760', 'ENSG00000164611', 'ENSG00000123975', 'ENSG00000197061', 'ENSG00000175063', 'ENSG00000137804', 'ENSG00000148773', 'ENSG00000164104']",0.8151463270187378
4.1,author_cell_type1,Goblets,230,0.878003696857671,0.892018779342723,0.8260869565217391,32205,23,40,190,1,['ENSG00000134193'],"['ENSG00000134193', 'ENSG00000174236', 'ENSG00000255474', 'ENSG00000124664', 'ENSG00000163515', 'ENSG00000070526', 'ENSG00000179914', 'ENSG00000275395', 'ENSG00000016490', 'ENSG00000122711']",1.0
4.1,author_cell_type1,Paneth cells,34,0.9876543209876544,1.0,0.9411764705882352,32424,0,2,32,2,"['ENSG00000188257', 'ENSG00000172016']","['ENSG00000188257', 'ENSG00000164816', 'ENSG00000164822', 'ENSG00000275896', 'ENSG00000172016', 'ENSG00000158764', 'ENSG00000186474', 'ENSG00000090382', 'ENSG00000197273', 'ENSG00000115386']",1.0
4.1,author_cell_type1,Plasma cells,3898,0.5311767886105605,0.655,0.3024628014366342,27939,621,2719,1179,2,"['ENSG00000211677', 'ENSG00000211890']","['ENSG00000099958', 'ENSG00000048462', 'ENSG00000211679', 'ENSG00000123131', 'ENSG00000211677', 'ENSG00000211890', 'ENSG00000170476', 'ENSG00000206560', 'ENSG00000166562', 'ENSG00000132465']",0.624424934387207
4.1,author_cell_type1,Doublets,4052,0.40966937811598,0.4463902787705504,0.3082428430404738,26857,1549,2803,1249,3,"['ENSG00000170476', 'ENSG00000166562', 'ENSG00000132002']","['ENSG00000211890', 'ENSG00000170476', 'ENSG00000211677', 'ENSG00000134285', 'ENSG00000166562', 'ENSG00000132002', 'ENSG00000132465', 'ENSG00000172183', 'ENSG00000100219', 'ENSG00000119801']",0.3138234317302704
4.1,author_cell_type1,T cells,14957,0.8303941225541132,0.8504833995353369,0.7587082971184061,15506,1995,3609,11348,1,['ENSG00000167286'],"['ENSG00000167286', 'ENSG00000271503', 'ENSG00000116824', 'ENSG00000198851', 'ENSG00000174946', 'ENSG00000069667', 'ENSG00000277734', 'ENSG00000168685', 'ENSG00000111796', 'ENSG00000008517']",1.0
