clusterName,NSForest_markers,f_score,onTarget,precision,recall
Mast cells,['TPSAB1'],0.925,1.0,0.961038961038961,0.8043478260869565
Enterocytes,"['FABP6', 'DPEP1']",0.8706338939197931,0.8562191724777222,0.8808900523560209,0.8318912237330037
Progenitors,"['OLFM4', 'REG1A']",0.7568438003220612,0.5200856328010559,0.8744186046511628,0.4921465968586387
Enteroendocrines,['CHGA'],0.9615384615384616,1.0,1.0,0.8333333333333334
TA,"['CENPW', 'PTTG1']",0.4864864864864865,0.8151463270187378,0.5454545454545454,0.3396226415094339
Goblets,['REG4'],0.878003696857671,1.0,0.892018779342723,0.8260869565217391
Paneth cells,"['PLA2G2A', 'REG3A']",0.9876543209876544,1.0,1.0,0.9411764705882352
Plasma cells,"['ENSG00000211677', 'ENSG00000211890']",0.5311767886105605,0.624424934387207,0.655,0.3024628014366342
Doublets,"['MZB1', 'SEC11C', 'DNAJB1']",0.40966937811598,0.3138234317302704,0.4463902787705504,0.3082428430404738
T cells,['CD3D'],0.8303941225541132,1.0,0.8504833995353369,0.7587082971184061
ILC,"['KLRB1', 'TYROBP']",0.7433474739683764,0.475818932056427,0.8107255520504731,0.5578871201157742
Cycling,"['BIRC5', 'TYMS']",0.6659142212189616,1.0,0.8082191780821918,0.390728476821192
B cells,['VPREB3'],0.8739918549868242,1.0,0.9374732334047108,0.6877159912032673
MNP,"['AIF1', 'MS4A6A']",0.8982444179307993,1.0,0.996219281663516,0.6446483180428134
CD36+ endothelium,"['FLT1', 'NHERF2']",0.8268633540372671,1.0,0.9770642201834864,0.5120192307692307
ACKR1+ endothelium,['ACKR1'],0.9152798789712556,1.0,0.9453125,0.8120805369127517
Lymphatics,"['CCL21', 'LYVE1']",0.940721649484536,1.0,1.0,0.7604166666666666
Pericytes,"['COX4I2', 'CSRP2']",0.7917888563049853,1.0,0.9818181818181818,0.4462809917355372
SM,"['ACTG2', 'MYH11']",0.915841584158416,1.0,1.0,0.6851851851851852
Fibs,['ADAMDEC1'],0.9345260753711458,0.6616488099098206,0.9552529182879378,0.8598949211908932
Glial cells,"['CRYAB', 'PLP1']",0.9642401021711366,1.0,0.993421052631579,0.8628571428571429
