clusterName,NSForest_markers,f_score
Mast cells,['TPSAB1'],0.925
Enterocytes,"['FABP6', 'DPEP1']",0.8706338939197931
Progenitors,"['OLFM4', 'REG1A']",0.7568438003220612
Enteroendocrines,['CHGA'],0.9615384615384616
TA,"['CENPW', 'PTTG1']",0.4864864864864865
Goblets,['REG4'],0.878003696857671
Paneth cells,"['PLA2G2A', 'REG3A']",0.9876543209876544
Plasma cells,"['ENSG00000211677', 'ENSG00000211890']",0.5311767886105605
Doublets,"['MZB1', 'SEC11C', 'DNAJB1']",0.40966937811598
T cells,['CD3D'],0.8303941225541132
ILC,"['KLRB1', 'TYROBP']",0.7433474739683764
Cycling,"['BIRC5', 'TYMS']",0.6659142212189616
B cells,['VPREB3'],0.8739918549868242
MNP,"['AIF1', 'MS4A6A']",0.8982444179307993
CD36+ endothelium,"['FLT1', 'NHERF2']",0.8268633540372671
ACKR1+ endothelium,['ACKR1'],0.9152798789712556
Lymphatics,"['CCL21', 'LYVE1']",0.940721649484536
Pericytes,"['COX4I2', 'CSRP2']",0.7917888563049853
SM,"['ACTG2', 'MYH11']",0.915841584158416
Fibs,['ADAMDEC1'],0.9345260753711458
Glial cells,"['CRYAB', 'PLP1']",0.9642401021711366
