,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7465613,0.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,1.3063078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.0,0.0,1.0226763,0.0,1.016559,0.96092105,0.0,0.0,0.97740835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9567417,0.0,0.0,1.1177038
ENSG00000242485,0.0,0.0,0.0,0.0,0.0,0.0,0.9060184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160075,0.0,0.0,0.0,0.0,0.0,0.0,0.88437396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.0,0.0,0.0,0.0,0.0,0.9374554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,2.7862883,3.1851945,2.4558105,2.69309,1.9124694,1.243203,2.3879738,2.7611785,2.0351448,2.9217644,2.8537788,2.5977993,3.011072,2.4946332,1.0712471,2.3410244,1.6392946,2.7646558,2.4069166,2.9713638,2.673195
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.0,0.41957653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32139897,0.0,0.0,0.89459336
ENSG00000116288,0.0,0.0,0.0,1.2055619,0.0,0.0,1.2906637,0.0,0.0,1.0494099,0.0,0.0,0.68976444,0.0,0.0,0.0,0.0,0.7629028,1.2581677,0.0,1.2783397
ENSG00000074800,0.0,0.0,0.0,1.502123,0.0,1.150665,0.48731095,0.0,0.0,0.0,0.0,0.0,0.95551145,0.0,0.0,0.0,0.0,1.3896117,1.3758887,0.0,1.3196149
ENSG00000178585,0.0,0.0,0.0,0.0,0.0,0.0,0.40428817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162444,0.0,0.0,1.3702755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162482,0.0,0.0,0.0,0.0,0.0,1.5296664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077549,0.0,0.0,0.0,0.93898714,0.0,0.0,1.2693204,0.0,0.0,0.77863467,0.0,0.0,0.9976995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173436,0.0,0.0,0.0,0.81427807,0.0,0.0,0.88702214,0.0,0.0,0.8045923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2169111,1.7788303,0.0,1.2153145
ENSG00000158747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7022572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7833956,0.0,0.0
ENSG00000188257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5318556,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1591142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7308157
ENSG00000142798,0.0,0.0,1.631086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000070831,1.3134196,0.0,1.1279134,1.2163997,0.0,0.0,0.9232687,0.0,0.0,0.81890905,0.0,1.4743371,1.1483076,0.0,0.0,0.0,0.0,0.80717415,1.361961,0.0,0.0
ENSG00000173372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4690154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0262245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2059715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125944,0.0,0.0,0.0,0.7533486,0.0,0.0,1.1837076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2773283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8849569
ENSG00000117318,1.301615,0.0,1.4226635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142676,3.5554364,4.272896,3.2762542,3.592332,3.1828036,2.616574,3.3569536,3.3298244,2.5911927,3.6809664,3.7096777,3.1181145,3.6740777,3.5553725,1.9347147,2.9601884,2.6155162,3.7222428,3.1636324,3.893389,3.5898595
ENSG00000188529,0.0,0.0,0.0,0.0,0.0,0.0,0.46615237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133226,0.0,0.0,0.0,0.0,0.0,0.0,0.43240827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92489636
ENSG00000169504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7619747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
