,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7465613,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,0.0,0.0,1.3063078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,1.0226763,0.0,1.016559,0.96092105,0.0,0.0,0.97740835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9567417,0.0,0.0,1.1177038
MRPL20,0.0,0.0,0.0,0.0,0.0,0.0,0.9060184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.0,0.0,0.0,0.0,0.0,0.0,0.88437396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.0,0.0,0.0,0.0,0.0,0.9374554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,2.7862883,3.1851945,2.4558105,2.69309,1.9124694,1.243203,2.3879738,2.7611785,2.0351448,2.9217644,2.8537788,2.5977993,3.011072,2.4946332,1.0712471,2.3410244,1.6392946,2.7646558,2.4069166,2.9713638,2.673195
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.41957653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32139897,0.0,0.0,0.89459336
PARK7,0.0,0.0,0.0,1.2055619,0.0,0.0,1.2906637,0.0,0.0,1.0494099,0.0,0.0,0.68976444,0.0,0.0,0.0,0.0,0.7629028,1.2581677,0.0,1.2783397
ENO1,0.0,0.0,0.0,1.502123,0.0,1.150665,0.48731095,0.0,0.0,0.0,0.0,0.0,0.95551145,0.0,0.0,0.0,0.0,1.3896117,1.3758887,0.0,1.3196149
CTNNBIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.40428817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP7,0.0,0.0,1.3702755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A3,0.0,0.0,0.0,0.0,0.0,1.5296664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
