clusterName,NSForest_markers,f_score
CD4+ PD1+,"['FYN', 'DUSP2', 'PTPN7']",0.625
Tregs,"['SLC25A45', 'CACYBP']",0.7142857142857143
CD69- Mast,['CLU'],0.7880434782608695
CD69+ Mast,['CPA3'],0.7894736842105263
Plasma,['JCHAIN'],0.979381443298969
TA 1,['MT-ND3'],0.4699675884421764
Tuft,['SH2D6'],0.8436213991769548
Immature Goblet,['CLCA1'],0.7109737248840804
M cells,"['ICAM2', 'CTSE', 'SRCAP']",0.6451612903225806
Secretory TA,"['CLCA1', 'RETNLB']",0.3052027857435477
GC,"['SMIM14', 'TCL1A']",0.6
Follicular,"['CXCR4', 'CD79A']",0.7827788649706457
MT-hi,"['ZFP36L2', 'CCL5']",0.2777777777777778
NKs,"['XCL1', 'CCL4']",0.4385964912280701
CD8+ IELs,"['HOPX', 'NKG7']",0.8383233532934131
CD8+ LP,['CD8A'],0.2755905511811024
CD8+ IL17+,['CD3G'],0.3571428571428571
CD4+ Activated Fos-hi,"['TSC22D3', 'CXCR4', 'CCL5']",0.2777777777777778
CD4+ Activated Fos-lo,"['ANAPC16', 'GIMAP7', 'CD2', 'ANXA1', 'LTB']",0.2597402597402597
CD4+ Memory,"['ZFP36L2', 'LTB', 'ENSG00000277734']",0.272108843537415
Cycling TA,"['UBE2C', 'PTTG1']",0.7193717974312903
TA 2,"['GOLM1', 'PPP1R1B', 'MGST1', 'FABP5']",0.4011527620009256
Stem,"['ASCL2', 'RGMB', 'ETS2']",0.4844206426484908
Enteroendocrine,"['SCGN', 'CRYBA2']",0.7846153846153846
Best4+ Enterocytes,"['BEST4', 'CA7']",0.8349354572919527
Immature Enterocytes 2,"['SLC26A2', 'CA1', 'MALL', 'SLC51B']",0.6316956039896564
Enterocyte Progenitors,"['CA1', 'CA2']",0.3757583261111799
Enterocytes,"['NLN', 'EMP1', 'CYTOR']",0.6289428407570254
Immature Enterocytes 1,"['MDK', 'AQP8']",0.5597512216792536
Goblet,"['TFF1', 'ZG16']",0.8415451320457233
Cycling T,['TYMS'],0.217391304347826
Cycling B,"['AURKB', 'TCL1A']",0.8247422680412371
Macrophages,['C1QC'],0.8098591549295775
DC2,"['CFP', 'LST1']",0.8695652173913043
