clusterName,NSForest_markers,f_score,onTarget,precision,recall
Enterocytes,"['RBP2', 'SLC5A1']",0.8871995889863566,1.0,0.956214109926169,0.6884459210040605
Paneth,"['REG3A', 'FABP6']",0.9090059790732437,1.0,0.9788732394366196,0.7071220930232558
Cycling/Secretory TA,"['MAZ', 'H2AZ1', 'ATP5MC1', 'WFDC2']",0.6271877122407398,0.434644341468811,0.8141742963716514,0.3268890401633764
Immature goblet cells,"['ITLN1', 'CLCA1']",0.5942832764505119,0.6027529239654541,0.6182867288060364,0.5144017725258493
Plasma cells,"['DERL3', 'MZB1']",0.941320966160373,0.8483849763870239,0.9803824510212588,0.8119228445671873
gamma-delta T cells,['KLRC3'],0.7339449541284404,1.0,0.8185753640299095,0.5192211682476285
Type 17 helper T cells,"['RORA', 'ANKRD28', 'KLRB1', 'IL7R']",0.5217579562675904,0.3009750843048095,0.6040100250626567,0.3377715487035739
Type 1 helper T cells,"['CLEC2D', 'KLRB1', 'TNFAIP3', 'GPR183']",0.3935807130927311,0.2312766015529632,0.4069069069069069,0.3479935794542536
Follicular helper T cells,"['PASK', 'TCF7', 'NR3C1']",0.2755905511811024,1.0,0.3238434163701068,0.1726755218216318
ILC,"['AREG', 'TNFRSF25']",0.4861660079051383,1.0,0.8848920863309353,0.1734837799717912
Tcm/Naive helper T cells,"['GAS5', 'JCHAIN', 'CD7']",0.246388689683434,0.1139703020453453,0.2885422915416916,0.1555124474620109
Regulatory T cells,"['ANKRD12', 'ENSG00000277734', 'IL32']",0.161124442920809,0.1269017904996872,0.1839530332681017,0.1076746849942726
Trm cytotoxic T cells,"['PTPRCAP', 'CD3D']",0.4687019674146941,0.1530751287937164,0.4933265925176946,0.390695067264574
Tem/Effector helper T cells,"['NOP53', 'RGCC', 'GPR183', 'IL32']",0.1929151624548736,0.1299706250429153,0.2401685393258427,0.1079545454545454
Tem/Trm cytotoxic T cells,"['GZMK', 'CST7']",0.6190212117010953,0.4839636087417602,0.7087301587301588,0.4109526000920386
NK cells,"['CLIC3', 'XCL1']",0.3857677902621723,1.0,0.5953757225433526,0.1601866251944012
Mast cells,['TPSAB1'],0.9616795012834616,1.0,0.9588665447897624,0.9730983302411874
Follicular B cells,"['MS4A1', 'NOP53']",0.6578699340245052,0.1773604601621627,0.8187683284457478,0.3683377308707124
Naive B cells,"['LINC00926', 'TCL1A']",0.742546926757453,0.4779592156410217,0.7950738916256158,0.5873362445414847
Memory B cells,"['BANK1', 'MS4A1']",0.4914860681114551,0.3511262536048889,0.4646777371235575,0.6389318885448917
Germinal center B cells,"['SERPINA9', 'NEIL1']",0.5202821869488536,0.8860692977905273,0.6941176470588235,0.2599118942731278
Cycling B cells,"['PCLAF', 'H2AZ1', 'RGS13']",0.7793345008756567,0.6214654445648193,0.9175257731958762,0.4863387978142076
DC1,"['CLEC9A', 'IDO1']",0.797011207970112,1.0,0.9696969696969696,0.4654545454545454
DC2,"['CFP', 'CLEC10A']",0.5461264713933753,0.8693588972091675,0.6054628224582701,0.3923303834808259
Monocytes,['S100A9'],0.562953995157385,1.0,0.6813186813186813,0.3321428571428571
Macrophages,"['C1QB', 'C1QA']",0.729517130265839,0.4345347881317138,0.7325719724006662,0.7175483570263342
Intestinal macrophages,"['STAB1', 'CD163L1', 'ABCA1', 'CD163']",0.4806240563663815,1.0,0.6474576271186441,0.2366790582403965
Capillary endothelial cells,"['CD36', 'FLT1']",0.7738481505515898,1.0,0.9695121951219512,0.4281867145421903
Venous endothelial cells,['ACKR1'],0.8554589832122872,1.0,0.9037735849056604,0.704757233938205
Arterial endothelial cells,"['MMRN2', 'IGFBP3']",0.6911910260640053,0.7991617918014526,0.95662100456621,0.3275996872556685
Lymphatic endothelial cells,"['MMRN1', 'LYVE1']",0.8980509745127436,1.0,0.9950166112956812,0.6461704422869471
Stromal 3,"['C3', 'PRELP']",0.8909527509004873,1.0,0.9886363636363636,0.6385725132877752
Myofibroblasts,"['ACTG2', 'MYLK']",0.7450856055802156,0.7879060506820679,0.9251968503937008,0.4188948306595365
Pericytes,"['NOTCH3', 'RERGL']",0.8022275737507526,1.0,0.9833948339483396,0.4618717504332755
Stromal 1,"['CCL8', 'TCF21']",0.8366571108064315,0.8835339546203613,0.9853211009174312,0.5217644772638943
Stromal 2,['VSTM2A'],0.8158182480865023,1.0,0.9031607262945528,0.5882610600087604
Glia,['PLP1'],0.897400055912776,1.0,0.9427312775330396,0.7526377491207503
Colonocytes,"['MS4A12', 'SLC26A3']",0.7515150091605205,0.8161009550094604,0.894965034965035,0.4579218548733362
BEST4+ enterocytes,"['BEST4', 'OTOP2']",0.8391550690357006,1.0,0.9192527869840312,0.6222720783193962
TA,"['CD24', 'C15orf48']",0.6691803612164539,0.174504742026329,0.7380017626792725,0.4873802846711466
Stem cells,"['LGR5', 'RAMP1']",0.6840815075838823,1.0,0.734375,0.5369813589897775
Enteroendocrine cells,"['SCGN', 'SCG3']",0.8706786171574904,1.0,0.9577464788732394,0.6384976525821596
Tuft cells,['SH2D6'],0.9247793439599524,1.0,0.9353764157228516,0.8846880907372401
Goblet cells,"['SYTL2', 'REP15']",0.682574163329034,0.7331765294075012,0.8649462365591398,0.3702817160743877
