,BEST4+ cell,Enterocyte progenitor cell subset 2,Enterocyte progenitor cell subset 3,Enterocyte subset 1,Enterocyte subset 2,Enteroendocrine cell subset 1,Enteroendocrine cell subset 2,Goblet cell subset 1,Goblet cell subset 2,Goblet cell subset 3,Goblet progenitor,Mature enterocyte subset 1,Mature enterocyte subset 2,Microfold cell,Mixed cell types,Paneth cell,Stem cell,Transit amplifying cell subset 1,Transit amplifying cell subset 2,Transit amplifying cell subset 3,Tuft cell,enterocyte progenitor subset 1
NOC2L,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0
HES4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.33392068601789926,0.0,0.0,0.0,0.0,0.0,0.0,0.33392068601789926,0.33392068601789926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2J2,0.0,0.0,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.7619047619047619,0.0,0.0,0.0
AURKAIP1,0.035149545896620976,0.11679196641558692,0.19303037155242192,0.19303037155242192,0.19303037155242192,0.035149545896620976,0.035149545896620976,0.11679196641558692,0.0,0.11679196641558692,0.19303037155242192,0.11679196641558692,0.19303037155242192,0.035149545896620976,0.035149545896620976,0.0,0.035149545896620976,0.19303037155242192,0.19303037155242192,0.19303037155242192,0.035149545896620976,0.11679196641558692
CCNL2,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0
MRPL20,0.07029909179324195,0.07029909179324195,0.21382024174644834,0.21382024174644834,0.07029909179324195,0.07029909179324195,0.0,0.07029909179324195,0.0,0.07029909179324195,0.07029909179324195,0.07029909179324195,0.07029909179324195,0.07029909179324195,0.07029909179324195,0.0,0.07029909179324195,0.21382024174644834,0.21382024174644834,0.21382024174644834,0.0,0.21382024174644834
SSU72,0.0,0.0,0.36907023191452026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK11B,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
CDK11A,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.19047619047619047
GNB1,0.03961340018681118,0.03961340018681118,0.0,0.03961340018681118,0.10341958772568476,0.10341958772568476,0.10341958772568476,0.03961340018681118,0.03961340018681118,0.10341958772568476,0.03961340018681118,0.10341958772568476,0.10341958772568476,0.10341958772568476,0.03961340018681118,0.0,0.0,0.0,0.03961340018681118,0.0,0.10341958772568476,0.0
PRKCZ,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
SKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0
RER1,0.1581729565347944,0.1581729565347944,0.1581729565347944,0.1581729565347944,0.1581729565347944,0.0,0.0,0.1581729565347944,0.0,0.0,0.1581729565347944,0.1581729565347944,0.1581729565347944,0.0,0.0,0.0,0.0,0.1581729565347944,0.1581729565347944,0.1581729565347944,0.0,0.1581729565347944
TNFRSF14,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0,0.5238095238095238
PRDM16,0.5266558357647487,0.5266558357647487,0.3333333333333333,0.5266558357647487,0.0,0.3333333333333333,0.5266558357647487,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
TPRG1L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,0.07354257220313662,0.06426106180463519,0.15209056649889266,0.10865096535001482,0.03413858300163632,0.04461516936620077,0.013445794582366943,0.08402359201794579,0.0,0.09547193845113118,0.08402359201794579,0.013445794582366943,0.0,0.10865096535001482,0.07354257220313662,0.006115720385596866,0.09547193845113118,0.10865096535001482,0.09547193845113118,0.12326951537813459,0.02372518607548305,0.12326951537813459
ICMT,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143
ACOT7,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5442306087130592,0.3333333333333333,0.5442306087130592,0.5442306087130592,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
ESPN,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC11,0.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.0,0.0,0.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.0,0.0,0.38095238095238093,0.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.0,0.38095238095238093
CAMTA1,0.052724318844931464,0.19001071793692453,0.19001071793692453,0.19001071793692453,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.19001071793692453,0.052724318844931464,0.052724318844931464,0.0,0.052724318844931464,0.0,0.19001071793692453,0.19001071793692453,0.052724318844931464,0.19001071793692453,0.0,0.052724318844931464
PARK7,0.09006443477812268,0.09006443477812268,0.26632566111428396,0.09006443477812268,0.09006443477812268,0.09006443477812268,0.026362160841623943,0.09006443477812268,0.0,0.09006443477812268,0.18321300120580764,0.026362160841623943,0.026362160841623943,0.09006443477812268,0.026362160841623943,0.010775923728942871,0.09006443477812268,0.18321300120580764,0.18321300120580764,0.18321300120580764,0.026362160841623943,0.18321300120580764
ERRFI1,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.9098671759877887,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0
RERE,0.10507173765273321,0.10507173765273321,0.02831845624106271,0.02831845624106271,0.009881845542362757,0.2674633264541626,0.211431242170788,0.06904644341695876,0.211431242170788,0.211431242170788,0.06904644341695876,0.009881845542362757,0.0,0.1472503145535787,0.10507173765273321,0.10507173765273321,0.10507173765273321,0.02831845624106271,0.02831845624106271,0.02831845624106271,0.24088209299814134,0.02831845624106271
ENO1,0.03952738216945103,0.17819654941558838,0.2555118714060102,0.17819654941558838,0.17819654941558838,0.0,0.03952738216945103,0.03952738216945103,0.0,0.03952738216945103,0.08686489150637672,0.08686489150637672,0.08686489150637672,0.13617196537199475,0.13617196537199475,0.0,0.08686489150637672,0.2555118714060102,0.2555118714060102,0.21873726731254942,0.0,0.21873726731254942
