clusterName,NSForest_markers,f_score,onTarget,precision,recall
Mature enterocyte subset 1,"['CTSE', 'APOA1']",0.8017103153393907,0.6072983741760254,0.8746355685131195,0.6012024048096193
BEST4+ cell,['BEST4'],0.8442829186469109,1.0,0.9320987654320988,0.6131979695431472
Enterocyte progenitor cell subset 2,"['DTL', 'ADH4']",0.2220998531571218,0.3467131853103637,0.2449392712550607,0.1617647058823529
Stem cell,"['LGR5', 'SMOC2']",0.5889423076923077,0.6831692457199097,0.7,0.3602941176470588
Transit amplifying cell subset 3,"['EPHA2', 'HBEGF', 'PHLDA2']",0.3777292576419214,0.4421141147613525,0.4516971279373368,0.2282321899736147
Transit amplifying cell subset 2,"['CCNB1', 'PTTG1']",0.6791656319841073,0.4796554148197174,0.6807716241443684,0.6728167281672817
Transit amplifying cell subset 1,"['H3C7', 'H3C2']",0.7336435806186696,0.7789429426193237,0.7768115942028986,0.6002239641657335
Enterocyte progenitor cell subset 3,"['UNG', 'FOLH1', 'MCM5', 'MCM6']",0.3490531006312662,0.2000000029802322,0.3884297520661157,0.2483487450462351
enterocyte progenitor subset 1,"['KCNJ13', 'LINC03057', 'SAMD5']",0.4369295226694598,0.4421141147613525,0.5118317265556529,0.2756016989145823
Enterocyte subset 1,"['ENSG00000282408', 'GSTA2']",0.5575459023734886,0.7634012699127197,0.6518324607329843,0.3531914893617021
Enterocyte subset 2,"['KCNJ13', 'FABP6']",0.6366723259762309,0.5995945930480957,0.9146341463414634,0.2873563218390804
Mature enterocyte subset 2,"['TMIGD1', 'APOC3']",0.9289176090468496,0.5771951079368591,0.9623430962343096,0.8156028368794326
Microfold cell,['CD163'],0.9776536312849162,1.0,0.9722222222222222,1.0
Goblet cell subset 3,"['GABRA2', 'SELENOM']",0.5513370749422252,0.6224077343940735,0.6693386773547094,0.3233301064859632
Goblet cell subset 1,"['MUC2', 'ITLN1']",0.8649977648636566,0.3325033783912658,0.8755656108597285,0.8251599147121536
Goblet progenitor,"['SPDEF', 'H3C2', 'H1-5', 'SELENOM']",0.7142857142857143,0.4460015892982483,0.9256198347107438,0.3733333333333333
Tuft cell,"['POU2F3', 'AVIL']",0.9313991323210412,1.0,0.9662447257383966,0.8139810426540285
Goblet cell subset 2,"['ENSG00000233452', 'FER1L6']",0.2677998717126363,0.3294265270233154,0.2368794326241134,0.5604026845637584
Paneth cell,"['PLA2G2A', 'PRSS2']",0.8085106382978723,1.0,0.9047619047619048,0.5671641791044776
Enteroendocrine cell subset 1,"['CDKN1C', 'RIMBP2']",0.7701492537313432,0.6105285286903381,0.9280575539568344,0.458259325044405
Enteroendocrine cell subset 2,"['TPH1', 'LINC00907']",0.9558067831449126,1.0,0.984126984126984,0.8571428571428571
Mixed cell types,"['ENSG00000189229', 'APOB', 'MUC2', 'ENSG00000231424', 'TOP2A']",0.4084442404772831,0.0887564569711685,0.4149184149184149,0.3844492440604751
