index,B-lymphocytes,NK cells,T-lymphocytes,cilliated epithelial,endothelial,epithelial 1,epithelial 2,fibroblast 1,fibroblast 2,fibroblast 3,mast cells,mesothelial,mural cells,myeloid 1,myeloid 2,myeloid 3,pDC,plasma B-lymphocyte
A1BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9829459856538212,0.9411764705882353
A2M,0.0,0.0,0.0,0.0,0.9087958230691797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656082574058982,0.0,0.8235294117647058,0.871699704843409,0.0,0.0
AAED1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1,0.0,0.7387268017320072,0.7900793973137351,0.47058823529411764,0.5315051534596611,0.0,0.47584330684998455,0.0,0.5069639051661772,0.0,0.0,0.5675416693967932,0.0,0.5726539562730228,0.5399645637063419,0.6553153009975657,0.0,0.0
AAMDC,0.0,0.0,0.0,0.8386643774369184,0.0,0.0,0.8305667743963354,0.0,0.8235294117647058,0.0,0.0,0.8897086487096899,0.0,0.0,0.0,0.0,0.0,0.0
AAMP,0.0,0.0,0.0,0.836625758339377,0.0,0.0,0.886850448215709,0.0,0.8235294117647058,0.0,0.0,0.8371430284836713,0.0,0.0,0.0,0.0,0.0,0.0
AARS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASDHPPT,0.0,0.0,0.0,0.9557578072828405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
AATF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ABCA5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9813913036795223,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ABCD3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD4,0.0,0.0,0.0,0.9411764705882353,0.9546637289664325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCE1,0.0,0.0,0.0,0.7216258785303902,0.0,0.0,0.7058823529411765,0.0,0.7513028032639447,0.0,0.0,0.7183790417278514,0.0,0.0,0.7130903987323537,0.0,0.83734810702941,0.0
ABCF1,0.0,0.0,0.0,0.7366979963639203,0.0,0.0,0.761792821042678,0.0,0.7674335486748639,0.0,0.0,0.7435717863195083,0.0,0.0,0.7460647575995502,0.7058823529411765,0.0,0.0
ABCG2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD11,0.0,0.0,0.0,0.9537039153716144,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9733709096908569,0.0,0.0
ABHD14A,0.0,0.0,0.0,0.9756399463204777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
ABHD14B,0.0,0.0,0.0,0.9526845181689543,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ABHD17A,0.0,0.7785415474106284,0.7073664910653058,0.4117647058823529,0.6079917304656085,0.0,0.45643442167955284,0.0,0.41688761640997496,0.0,0.0,0.43801509632783775,0.0,0.5178937491248635,0.4896272806560292,0.48016562882591696,0.5202730683719411,0.0
ABHD2,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8690143543131211,0.8310264980091768,0.8562914974549237,0.0,0.0
ABHD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABI1,0.0,0.0,0.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.780579966657302,0.7650830044465906,0.8035499488606173,0.8076124717207516,0.0
ABI2,0.0,0.0,0.0,0.8217958282021915,0.0,0.0,0.7058823529411765,0.7212888072518742,0.7269321890438304,0.0,0.0,0.7355034176041099,0.0,0.0,0.0,0.0,0.7652844015289756,0.0
ABI3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583073188276852,0.9411764705882353,0.0,0.0
ABI3BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8871910607113558,0.9643510580062866,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM1,0.0,0.0,0.0,0.9100211648380055,0.9121156895861906,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0
ABR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9566899502978605,0.0,0.0
ABRACL,0.0,0.0,0.7116273361093858,0.5338100580608144,0.0,0.0,0.5946448410258574,0.0,0.0,0.0,0.6005697355550879,0.5294117647058824,0.0,0.619069895323585,0.5935631008709178,0.5729121986557456,0.7167120610966402,0.0
AC004687.1,0.8311199370552512,0.8546113512095284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.7674473278662738,0.0,0.8130831543137046,0.0
AC004832.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005224.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC007405.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
