celltype,mean_silhouette,std_silhouette,median_silhouette,count
B-lymphocytes,0.5626854,0.16886166,0.6311704,1626
NK cells,0.6876997,0.09368964,0.7152012,7677
T-lymphocytes,0.43970445,0.18188104,0.49914205,12553
cilliated epithelial,0.6718064,0.13371173,0.7131652,848
endothelial,0.7162285,0.06790035,0.7373421,10883
epithelial 1,0.7576068,0.105586015,0.8010404,559
epithelial 2,0.23456292,0.32715803,0.3517949,16467
fibroblast 1,0.17516898,0.31499693,0.26466456,37143
fibroblast 2,0.9342393,0.015189661,0.9393938,375
fibroblast 3,0.9259587,0.022286342,0.933314,425
mast cells,0.7962242,0.13779114,0.845981,361
mesothelial,0.8627493,0.042226214,0.87639487,1371
mural cells,0.7670654,0.08871497,0.80131686,5773
myeloid 1,0.5456912,0.28271568,0.67595387,4859
myeloid 2,0.41232058,0.18077786,0.47506663,3205
myeloid 3,0.5069073,0.18644267,0.5890886,3761
pDC,0.8328991,0.089742824,0.8659005,185
plasma B-lymphocyte,0.68092465,0.19014323,0.77427673,426
