clusterName,NSForest_markers,f_score
T-lymphocytes,"['CD3D', 'CD3G']",0.9397261748820184
NK cells,"['KLRD1', 'TRDC']",0.904118301796788
pDC,"['CLEC4C', 'LILRA4']",0.7397691500524659
B-lymphocytes,"['MS4A1', 'BANK1']",0.9086491739552964
plasma B-lymphocyte,"['IGLV3-1', 'FCRL5']",0.8262411347517731
myeloid 3,"['C1QC', 'C1QB', 'MS4A4A']",0.7768687735039915
myeloid 2,"['CLEC10A', 'FCER1A']",0.6812370631924997
myeloid 1,"['FCN1', 'S100A12']",0.9067200081024964
fibroblast 3,"['SFRP2', 'OGN']",0.6843455945252352
fibroblast 1,['PDGFRA'],0.9099692949097158
fibroblast 2,"['TGM2', 'FOSB', 'LAMB1']",0.50920245398773
mural cells,['PLN'],0.8194752820698717
endothelial,"['VWF', 'CLEC14A']",0.962555019691258
mesothelial,"['ANXA8', 'AC245041.2']",0.8062015503875969
epithelial 1,"['CD24', 'KRT19']",0.0801302931596091
epithelial 2,"['LINC01541', 'UCA1']",0.9114940702327128
cilliated epithelial,"['FAM81B', 'CAPSL', 'CFAP52']",0.8998005982053838
mast cells,"['CPA3', 'TPSB2', 'TPSAB1']",0.9041533546325878
