clusterName,NSForest_markers,f_score,onTarget,precision,recall
T-lymphocytes,"['CD3D', 'CD3G']",0.9397261748820184,1.0,0.9703539003149898,0.8343822193897873
NK cells,"['KLRD1', 'TRDC']",0.904118301796788,1.0,0.9569168630090878,0.7406539012635144
pDC,"['CLEC4C', 'LILRA4']",0.7397691500524659,1.0,0.734375,0.7621621621621621
B-lymphocytes,"['MS4A1', 'BANK1']",0.9086491739552964,1.0,0.9868073878627968,0.6900369003690037
plasma B-lymphocyte,"['IGLV3-1', 'FCRL5']",0.8262411347517731,1.0,0.9471544715447154,0.5469483568075117
myeloid 3,"['C1QC', 'C1QB', 'MS4A4A']",0.7768687735039915,0.8623120784759521,0.8266058266058266,0.6261632544536028
myeloid 2,"['CLEC10A', 'FCER1A']",0.6812370631924997,0.4876114726066589,0.8937699680511182,0.3491419656786271
myeloid 1,"['FCN1', 'S100A12']",0.9067200081024964,1.0,0.96211714132187,0.7369829182959456
fibroblast 3,"['SFRP2', 'OGN']",0.6843455945252352,0.937646210193634,0.8602150537634409,0.3764705882352941
fibroblast 1,['PDGFRA'],0.9099692949097158,0.3461107611656189,0.9206281349749202,0.8696928088738121
fibroblast 2,"['TGM2', 'FOSB', 'LAMB1']",0.50920245398773,0.7774869203567505,0.7545454545454545,0.2213333333333333
mural cells,['PLN'],0.8194752820698717,1.0,0.8878252331860579,0.6265373289450892
endothelial,"['VWF', 'CLEC14A']",0.962555019691258,1.0,0.9990163934426228,0.8399338417715704
mesothelial,"['ANXA8', 'AC245041.2']",0.8062015503875969,1.0,0.926208651399491,0.5309992706053975
epithelial 1,"['CD24', 'KRT19']",0.0801302931596091,0.2474113255739212,0.0691399662731871,0.220035778175313
epithelial 2,"['LINC01541', 'UCA1']",0.9114940702327128,0.6343141794204712,0.9567854435178166,0.7663812473431711
cilliated epithelial,"['FAM81B', 'CAPSL', 'CFAP52']",0.8998005982053838,1.0,0.9127686472819216,0.8514150943396226
mast cells,"['CPA3', 'TPSB2', 'TPSAB1']",0.9041533546325878,1.0,0.9401993355481728,0.7839335180055401
