index,B-lymphocytes,NK cells,T-lymphocytes,cilliated epithelial,endothelial,epithelial 1,epithelial 2,fibroblast 1,fibroblast 2,fibroblast 3,mast cells,mesothelial,mural cells,myeloid 1,myeloid 2,myeloid 3,pDC,plasma B-lymphocyte
A1BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8422067,0.2441711
A2M,0.0,0.0,0.0,0.0,2.5114582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6413964,0.0,0.46723923,1.7853075,0.0,0.0
AAED1,0.0,0.0,0.0,0.5436027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1,0.0,1.0498719,1.3067007,0.24219517,0.44590643,0.0,0.26595455,0.0,0.3677944,0.0,0.0,0.53418946,0.0,0.54507506,0.46864122,0.74352956,0.0,0.0
AAMDC,0.0,0.0,0.0,0.36414436,0.0,0.0,0.3374858,0.0,0.29711062,0.0,0.0,0.5326751,0.0,0.0,0.0,0.0,0.0,0.0
AAMP,0.0,0.0,0.0,0.20457149,0.0,0.0,0.29590523,0.0,0.15902612,0.0,0.0,0.20558864,0.0,0.0,0.0,0.0,0.0,0.0
AARS,0.0,0.0,0.0,0.24902758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASDHPPT,0.0,0.0,0.0,0.34526417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25967914,0.0,0.0,0.0,0.0,0.0,0.0
AATF,0.0,0.0,0.0,0.30725455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6986036,0.0,0.0
ABCA5,0.0,0.0,0.0,0.34045768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58682615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165647,0.0,0.36874992,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,0.0,0.0,0.0,0.0,0.6255174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,0.0,0.0,0.0,0.0,0.0,0.0,0.2940548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1644528,0.0,0.0
ABCD3,0.0,0.0,0.0,0.4262282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
