software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,celltype,T-lymphocytes,12553,0.9397261748820184,0.9703539003149898,0.8343822193897873,95624,320,2079,10474,2,"['CD3D', 'CD3G']","['CD3D', 'CD3G', 'TRAC', 'CD2', 'IL7R', 'SPOCK2', 'LCK', 'IL32', 'TRBC1', 'CD27']",1.0
4.1,celltype,NK cells,7677,0.904118301796788,0.9569168630090878,0.7406539012635144,100564,256,1991,5686,2,"['KLRD1', 'TRDC']","['GNLY', 'KLRD1', 'TRDC', 'PRF1', 'IL2RB', 'KLRC1', 'TXK', 'CTSW', 'HOPX', 'NKG7']",1.0
4.1,celltype,pDC,185,0.7397691500524659,0.734375,0.7621621621621621,108261,51,44,141,2,"['CLEC4C', 'LILRA4']","['CLEC4C', 'LILRA4', 'IRF7', 'SCT', 'PTCRA', 'AC119428.2', 'SMPD3', 'SHD', 'PLD4', 'SPIB']",1.0
4.1,celltype,B-lymphocytes,1626,0.9086491739552964,0.9868073878627968,0.6900369003690037,106856,15,504,1122,2,"['MS4A1', 'BANK1']","['MS4A1', 'BANK1', 'VPREB3', 'TNFRSF13C', 'LINC00926', 'LINC02397', 'BLK', 'CD79B', 'RALGPS2', 'IGHM']",1.0
4.1,celltype,plasma B-lymphocyte,426,0.8262411347517731,0.9471544715447154,0.5469483568075117,108058,13,193,233,2,"['IGLV3-1', 'FCRL5']","['IGHG1', 'IGLV3-1', 'TNFRSF17', 'FCRL5', 'IGLC2', 'IGHG3', 'JSRP1', 'IGLC3', 'MZB1', 'FKBP11']",1.0
4.1,celltype,myeloid 3,3761,0.7768687735039915,0.8266058266058266,0.6261632544536028,104242,494,1406,2355,3,"['C1QC', 'C1QB', 'MS4A4A']","['TREM2', 'MSR1', 'SLCO2B1', 'C1QC', 'C1QB', 'MS4A4A', 'C1QA', 'APOC1', 'VSIG4', 'CD163']",0.8623120784759521
4.1,celltype,myeloid 2,3205,0.6812370631924997,0.8937699680511182,0.3491419656786271,105159,133,2086,1119,2,"['CLEC10A', 'FCER1A']","['PKIB', 'CLEC10A', 'FCER1A', 'PLD4', 'FPR3', 'LYZ', 'HLA-DQA1', 'AIF1', 'HLA-DQB1', 'HLA-DRB5']",0.4876114726066589
4.1,celltype,myeloid 1,4859,0.9067200081024964,0.96211714132187,0.7369829182959456,103497,141,1278,3581,2,"['FCN1', 'S100A12']","['FCN1', 'S100A12', 'S100A8', 'CD300E', 'CLEC12A', 'FPR1', 'CFP', 'S100A9', 'CSF3R', 'CSTA']",1.0
4.1,celltype,fibroblast 3,425,0.6843455945252352,0.8602150537634409,0.3764705882352941,108046,26,265,160,2,"['SFRP2', 'OGN']","['SFRP2', 'C16orf89', 'PDGFRL', 'DPT', 'OGN', 'SFRP1', 'TNXB', 'CCDC80', 'IGFBP6', 'DCN']",0.937646210193634
4.1,celltype,fibroblast 1,37143,0.9099692949097158,0.9206281349749202,0.8696928088738121,68569,2785,4840,32303,1,['PDGFRA'],"['PDGFRA', 'ISLR', 'COL6A3', 'MEG3', 'LUM', 'MMP2', 'RBP1', 'DCN', 'COL1A1', 'C1S']",0.3461107611656189
