celltype,mean,std,median,count,q1,q3,f_score
fibroblast 2,0.93423931128,0.015189660553251926,0.9393938,375,0.9233805850000001,0.94664695,0.50920245398773
fibroblast 3,0.9259586856,0.022286340965390374,0.933314,425,0.92181414,0.939215,0.6843455945252352
mesothelial,0.8627492382056893,0.042226212539534375,0.87639487,1371,0.85057067,0.8923416,0.8062015503875969
pDC,0.8328991401081081,0.08974282545363993,0.8659005,185,0.8342826,0.87962526,0.7397691500524659
mast cells,0.7962241346552908,0.13779113890884626,0.845981,361,0.7900453,0.8666067,0.9041533546325878
mural cells,0.767065420505803,0.08871496956990269,0.80131686,5773,0.74809146,0.82723266,0.8194752820698717
epithelial 1,0.7576068164758497,0.10558601257387946,0.8010404,559,0.7287996999999999,0.82653055,0.0801302931596091
plasma B-lymphocyte,0.6809246689755869,0.19014322474568823,0.7742766999999999,426,0.6413030000000001,0.80158895,0.8262411347517731
endothelial,0.7162284926242765,0.06790035241607621,0.7373421,10883,0.6751959,0.77040697,0.962555019691258
NK cells,0.6876996210745082,0.09368964566619457,0.7152012,7677,0.65193707,0.75540316,0.904118301796788
cilliated epithelial,0.6718064376839622,0.13371172707214316,0.713165225,848,0.6371845025,0.7520458449999999,0.8998005982053838
myeloid 1,0.5456911825927434,0.2827156868895291,0.67595387,4859,0.509981155,0.7157455699999999,0.9067200081024964
B-lymphocytes,0.562685401899139,0.16886165411422654,0.63117035,1626,0.4945020025,0.6736529124999999,0.9086491739552964
myeloid 3,0.5069073013355757,0.1864426729700196,0.5890886,3761,0.4288618,0.633347,0.7768687735039915
T-lymphocytes,0.43970444905140976,0.18188103772486247,0.49914205,12553,0.36169827,0.5800248,0.9397261748820184
myeloid 2,0.41232057321750387,0.1807778603345587,0.47506663,3205,0.30877852,0.5549294,0.6812370631924997
epithelial 2,0.2345629259018763,0.32715802782665965,0.3517949,16467,0.073422765,0.488312825,0.9114940702327128
fibroblast 1,0.17516897473915055,0.3149969335561938,0.26466456,37143,-0.04425751,0.44239618,0.9099692949097158
