index,endothelial,epithelial,lymphocytes,myeloid,stromal
A2M,1.0,0.0,0.0,0.0,0.0
AAK1,0.34799255430698395,0.25,0.7121682614088058,0.43066971004009247,0.0
AAMDC,0.0,1.0,0.0,0.0,0.0
AAMP,0.0,1.0,0.0,0.0,0.0
ABCB1,1.0,0.0,0.0,0.0,0.0
ABCD4,1.0,0.0,0.0,0.0,0.0
ABCE1,0.0,1.0,0.0,0.0,0.0
ABCF1,0.0,1.0,0.0,0.0,0.0
ABCG2,1.0,0.0,0.0,0.0,0.0
ABHD11,0.0,1.0,0.0,0.0,0.0
ABHD14B,0.0,1.0,0.0,0.0,0.0
ABHD17A,0.4482486695051193,0.25,0.6332227885723114,0.3016112297773361,0.0
ABHD2,0.0,0.0,0.0,1.0,0.0
ABI1,0.0,0.0,0.0,1.0,0.0
ABI2,0.0,0.75,0.0,0.0,0.7734485119581223
ABLIM1,1.0,0.0,0.0,0.0,0.0
ABR,0.0,0.0,0.0,1.0,0.0
ABRACL,0.0,0.5,0.6145457625389099,0.5183805376291275,0.0
AC004687.1,0.0,0.0,0.9085775315761566,0.75,0.0
AC020656.1,0.0,0.0,0.0,1.0,0.0
AC245297.3,0.0,0.75,0.9032007455825806,0.0,0.0
ACAA1,0.0,0.75,0.0,0.8354499787092209,0.0
ACADM,0.0,1.0,0.0,0.0,0.0
ACADVL,0.25,0.5528160333633423,0.0,0.42116376757621765,0.3548518419265747
ACAP1,0.0,0.0,1.0,0.0,0.0
ACAP2,0.75,0.0,0.0,0.8902478814125061,0.0
ACBD3,0.0,1.0,0.0,0.0,0.0
ACBD6,0.0,1.0,0.0,0.0,0.0
ACIN1,0.0,1.0,0.0,0.0,0.0
ACKR1,1.0,0.0,0.0,0.0,0.0
ACO2,0.0,1.0,0.0,0.0,0.0
ACP1,0.0,1.0,0.0,0.0,0.0
ACSL3,0.0,1.0,0.0,0.0,0.0
ACSL4,0.0,0.75,0.0,0.7980291396379471,0.0
ACSL5,0.0,1.0,0.0,0.0,0.0
ACTA2,0.0,0.0,0.0,0.0,1.0
ACTB,0.026667311787605286,0.0,0.17227448523044586,0.28549906611442566,0.08659151196479797
ACTG1,0.05309157073497772,0.0,0.03506007790565491,0.025319427251815796,0.16711364686489105
ACTL6A,0.0,1.0,0.0,0.0,0.0
ACTN1,0.5663713365793228,0.2736218720674515,0.0,0.25,0.36977507174015045
ACTN4,0.3919515013694763,0.08552104234695435,0.14150457084178925,0.0,0.06281529366970062
ACTR10,0.0,0.7960344105958939,0.0,0.0,0.75
ACTR2,0.13553911447525024,0.07803048193454742,0.3287862092256546,0.557593435049057,0.0
ACTR3,0.08706758916378021,0.12312334775924683,0.39554159343242645,0.48299621045589447,0.0
ACVRL1,1.0,0.0,0.0,0.0,0.0
ADA2,0.0,0.0,0.0,1.0,0.0
ADAM10,0.5470590144395828,0.5,0.0,0.6055046021938324,0.0
ADAM15,1.0,0.0,0.0,0.0,0.0
ADAM17,0.0,0.0,0.0,1.0,0.0
ADAM9,0.0,1.0,0.0,0.0,0.0
ADAMTS1,0.0,0.0,0.0,0.0,1.0
ADAP2,0.0,0.0,0.0,1.0,0.0
ADAR,0.4422663599252701,0.3500581830739975,0.0,0.4970158785581589,0.25
ADCY4,1.0,0.0,0.0,0.0,0.0
ADCY7,0.0,0.0,0.0,1.0,0.0
ADD1,0.4554828852415085,0.2573639452457428,0.0,0.25,0.3571888357400894
ADD3,0.0,1.0,0.0,0.0,0.0
ADGRA3,0.0,1.0,0.0,0.0,0.0
ADGRE5,0.0,0.0,0.7819367349147797,0.75,0.0
ADGRF5,1.0,0.0,0.0,0.0,0.0
ADGRG1,0.0,1.0,0.0,0.0,0.0
