,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
HES4,0.0,0.0,0.0,0.0,1.0,0.0
MXRA8,0.0,1.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,1.0,0.0,0.0
RPL22,0.2,0.2092098593711853,0.28604114055633545,0.27296462059021,0.20234880447387696,0.0
PARK7,0.0,0.7054543256759643,0.0,0.6,0.6824482321739197,0.0
ENO1,0.0,0.0,0.0,1.0,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,1.0,0.0,0.0
EFHD2,0.0,0.0,0.838772964477539,0.8,0.0,0.0
CAPZB,0.0,0.6,0.6442422032356262,0.6639992594718933,0.0,0.0
MICOS10,0.0,0.0,0.0,1.0,0.0,0.0
CAMK2N1,0.0,1.0,0.0,0.0,0.0,0.0
HSPG2,0.8557106137275696,0.8,0.0,0.0,0.0,0.0
CDC42,0.2,0.2887788534164429,0.4484109878540039,0.4332945227622986,0.2629879117012024,0.0
ID3,0.6832670450210572,0.6,0.0,0.0,0.6864516258239746,0.0
RPL11,0.0803598403930664,0.047670602798461914,0.2016029953956604,0.15296627283096315,0.03454247713088989,0.0
SRRM1,0.0,0.0,0.0,1.0,0.0,0.0
RUNX3,0.0,0.0,1.0,0.0,0.0,0.0
RSRP1,0.0,0.0,0.848934781551361,0.8,0.0,0.0
TMEM50A,0.0,0.8573515772819519,0.0,0.8,0.0,0.0
SH3BGRL3,0.0,0.4,0.5311280608177185,0.5004679083824157,0.0,0.41583411693572997
CD52,0.0,0.0,0.9016094326972961,0.8,0.0,0.0
HMGN2,0.0,0.6365297436714172,0.0,0.6,0.6605783939361572,0.0
WASF2,0.0,0.8538257479667664,0.0,0.8,0.0,0.0
FGR,0.0,0.0,0.0,1.0,0.0,0.0
LAPTM5,0.0,0.0,0.8,0.8587884783744812,0.0,0.0
TINAGL1,0.0,0.0,0.0,0.0,1.0,0.0
PTP4A2,0.0,0.8,0.0,0.8589009046554565,0.0,0.0
GJA4,0.0,0.0,0.0,0.0,1.0,0.0
SFPQ,0.0,0.0,0.8,0.8018064379692078,0.0,0.0
NDUFS5,0.0,0.8665230631828308,0.0,0.8,0.0,0.0
PABPC4,0.0,0.0,0.0,1.0,0.0,0.0
CAP1,0.0,0.4169288992881775,0.5587631821632385,0.627537477016449,0.4,0.0
PPT1,0.0,0.0,0.0,1.0,0.0,0.0
SMAP2,0.0,0.0,0.0,1.0,0.0,0.0
YBX1,0.2,0.2970627427101135,0.2944419026374817,0.48871350288391113,0.3266714811325073,0.0
ATP6V0B,0.0,0.0,0.0,1.0,0.0,0.0
RPS8,0.03403626680374146,0.0565168023109436,0.13574892282485962,0.10415788888931274,0.06657643318176269,0.0
PRDX1,0.4,0.5476965546607971,0.0,0.4129051208496094,0.4866645336151123,0.0
UQCRH,0.0,0.0,0.6280196189880372,0.6,0.6086434841156005,0.0
SCP2,0.0,1.0,0.0,0.0,0.0,0.0
PODN,0.0,1.0,0.0,0.0,0.0,0.0
TMEM59,0.4,0.631457793712616,0.0,0.41343691349029543,0.5500536799430847,0.0
PLPP3,0.0,1.0,0.0,0.0,0.0,0.0
JUN,0.0,0.6266461730003356,0.0,0.6,0.7221824288368225,0.0
NFIA,0.8,0.8495974183082581,0.0,0.0,0.0,0.0
JAK1,0.0,0.0,0.8756738305091858,0.8,0.0,0.0
LEPROT,0.0,0.8443562626838684,0.0,0.0,0.8,0.0
PDE4B,0.0,0.0,0.0,1.0,0.0,0.0
SERBP1,0.0,0.6,0.6754472732543946,0.6146560788154602,0.0,0.0
SRSF11,0.0,0.8601487636566162,0.0,0.8,0.0,0.0
NEGR1,0.0,1.0,0.0,0.0,0.0,0.0
GNG5,0.0,0.8,0.0,0.8713933229446411,0.0,0.0
SELENOF,0.0,0.8853676438331604,0.0,0.8,0.0,0.0
LMO4,0.0,1.0,0.0,0.0,0.0,0.0
RPL5,0.2,0.20939064025878906,0.34904544353485106,0.24221417903900147,0.23699053525924682,0.0
