,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
HES4,0.0,0.0,0.0,0.0,1.4148604,0.0
MXRA8,0.0,1.3394389,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,0.7952515,0.0,0.0
RPL22,2.113844,2.1765175,2.4844942,2.439808,2.138964,0.0
PARK7,0.0,1.0875362,0.0,0.5928994,1.008746,0.0
ENO1,0.0,0.0,0.0,1.287099,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,1.3223588,0.0,0.0
EFHD2,0.0,0.0,1.1458145,0.92368144,0.0,0.0
CAPZB,0.0,0.81427807,1.0455695,1.1070497,0.0,0.0
MICOS10,0.0,0.0,0.0,0.8116082,0.0,0.0
CAMK2N1,0.0,0.8531306,0.0,0.0,0.0,0.0
HSPG2,1.8494287,1.3342646,0.0,0.0,0.0,0.0
CDC42,0.7432461,1.1748438,1.6827258,1.6378403,1.0849351,0.0
ID3,2.3385525,1.3649307,0.0,0.0,2.3623042,0.0
RPL11,2.9143486,2.741865,3.4388385,3.2413802,2.6433704,2.1868277
SRRM1,0.0,0.0,0.0,0.7305925,0.0,0.0
RUNX3,0.0,0.0,1.3258771,0.0,0.0,0.0
RSRP1,0.0,0.0,1.8876468,1.4257889,0.0,0.0
TMEM50A,0.0,1.0431825,0.0,0.7440417,0.0,0.0
SH3BGRL3,0.0,1.8850361,2.79721,2.6255236,0.0,2.0471067
CD52,0.0,0.0,2.184876,1.0748559,0.0,0.0
HMGN2,0.0,1.3273007,0.0,1.0848709,1.4213424,0.0
WASF2,0.0,1.2444329,0.0,0.90952027,0.0,0.0
FGR,0.0,0.0,0.0,0.6137521,0.0,0.0
LAPTM5,0.0,0.0,1.3979567,1.9799471,0.0,0.0
TINAGL1,0.0,0.0,0.0,0.0,1.9728291,0.0
PTP4A2,0.0,0.9412693,0.0,1.3341961,0.0,0.0
GJA4,0.0,0.0,0.0,0.0,1.5115094,0.0
SFPQ,0.0,0.0,1.5748361,1.58919,0.0,0.0
NDUFS5,0.0,0.96556866,0.0,0.6444057,0.0,0.0
PABPC4,0.0,0.0,0.0,0.79282486,0.0,0.0
CAP1,0.0,0.81420803,1.2929186,1.5316528,0.7452898,0.0
PPT1,0.0,0.0,0.0,0.932399,0.0,0.0
SMAP2,0.0,0.0,0.0,0.89562106,0.0,0.0
YBX1,0.9018394,1.7234899,1.7087071,2.411696,1.8313016,0.0
ATP6V0B,0.0,0.0,0.0,1.3607128,0.0,0.0
RPS8,2.7852178,2.9675066,3.3032491,3.186763,3.0234697,2.3112257
PRDX1,1.1971235,1.7942638,0.0,1.2796967,1.5809383,0.0
UQCRH,0.0,0.0,1.2439055,1.1312227,1.1823195,0.0
SCP2,0.0,0.97565055,0.0,0.0,0.0,0.0
PODN,0.0,0.7732168,0.0,0.0,0.0,0.0
TMEM59,0.90149665,1.824801,0.0,0.96642554,1.4946587,0.0
PLPP3,0.0,1.1220151,0.0,0.0,0.0,0.0
JUN,0.0,1.0682286,0.0,0.92590755,1.4355724,0.0
NFIA,1.4472108,1.9244493,0.0,0.0,0.0,0.0
JAK1,0.0,0.0,1.2405765,0.7711806,0.0,0.0
LEPROT,0.0,1.2955136,0.0,0.0,1.0081929,0.0
PDE4B,0.0,0.0,0.0,0.6122403,0.0,0.0
SERBP1,0.0,0.81815016,1.0482091,0.8828454,0.0,0.0
SRSF11,0.0,0.9965122,0.0,0.6968173,0.0,0.0
NEGR1,0.0,1.0183632,0.0,0.0,0.0,0.0
GNG5,0.0,0.8489011,0.0,1.3201509,0.0,0.0
SELENOF,0.0,1.0442551,0.0,0.59852713,0.0,0.0
LMO4,0.0,1.112126,0.0,0.0,0.0,0.0
RPL5,2.2591023,2.3704002,2.9970253,2.57451,2.5506237,0.0
ARHGAP29,1.8436592,0.5274119,0.0,0.0,0.0,0.0
CNN3,0.0,1.1301099,0.0,0.0,0.0,0.0
PRPF38B,0.0,0.0,1.1154239,0.6420942,0.0,0.0
GNAI3,0.0,0.0,0.0,0.93828034,0.0,0.0
CD53,0.0,0.0,1.6998767,1.3137676,0.0,0.0
ATP5PB,0.0,0.0,0.0,0.7053673,0.0,0.0
C1orf162,0.0,0.0,0.0,1.0472476,0.0,0.0
RAP1A,0.0,0.0,0.0,0.9108061,0.0,0.0
CAPZA1,0.0,0.0,0.0,1.0315684,0.0,0.0
RHOC,1.5061622,0.9848049,0.0,0.5214328,0.0,0.0
CSDE1,0.0,0.9315582,0.0,0.9957044,0.0,0.0
ATP1A1,0.0,0.0,0.0,0.7265434,0.0,0.0
CD2,0.0,0.0,1.2513362,0.0,0.0,0.0
RBM8A,0.0,0.0,1.2437298,0.8714143,0.0,0.0
TXNIP,2.897987,2.1796417,1.7193415,1.0726156,2.504035,2.4088266
ECM1,0.0,1.7890563,0.0,0.0,0.0,0.0
MCL1,0.0,0.0,1.2227036,1.8948154,0.0,1.8761415
CTSS,0.0,0.0,0.0,2.814892,0.0,0.0
S100A10,2.2444558,3.002343,1.844929,2.4626076,0.0,0.0
S100A11,1.820564,2.5064447,1.3264868,2.7034435,0.9002753,2.022109
S100A9,0.0,0.0,0.0,1.499416,0.0,2.6807609
S100A8,0.0,0.0,0.0,0.0,0.0,2.9203057
S100A6,2.598073,3.8901339,2.193677,3.2127235,1.9350183,2.6994586
S100A4,0.0,3.2722085,3.052814,3.4145002,0.0,2.0656753
S100A13,0.0,1.6797013,0.0,0.0,0.0,0.0
JTB,0.0,0.8508565,0.0,0.65894324,0.0,0.0
RPS27,3.0069437,2.9340777,4.2673125,3.5932643,2.8880765,2.602709
TPM3,0.0,0.0,1.5794075,1.7249098,0.0,0.0
KRTCAP2,0.0,1.4230134,0.0,0.6111412,0.0,0.0
SSR2,0.0,0.7635447,1.3373637,0.78502584,0.0,0.0
LMNA,0.0,1.5359299,0.0,0.0,1.5809383,0.0
MNDA,0.0,0.0,0.0,1.5343244,0.0,2.1555095
IFI16,0.0,0.0,0.0,0.62856233,0.0,0.0
TAGLN2,2.0209613,2.376555,1.3942975,1.8107239,0.0,0.0
CD48,0.0,0.0,1.7345462,1.243774,0.0,0.0
FCER1G,0.0,0.0,0.0,2.6072302,0.0,0.0
FCGR2A,0.0,0.0,0.0,1.0022067,0.0,0.0
FCGR3A,0.0,0.0,0.0,0.8090303,0.0,0.0
DDR2,0.0,1.0145375,0.0,0.0,0.0,0.0
RGS5,0.0,0.0,0.0,0.0,3.8241277,0.0
MGST3,0.0,1.5627993,0.0,0.66708165,2.3942668,0.0
CD247,0.0,0.0,1.5784907,0.0,0.0,0.0
DPT,0.0,2.1288521,0.0,0.0,0.0,0.0
FMO2,0.0,1.1257298,0.0,0.0,0.0,0.0
PRRC2C,0.0,0.7357068,1.3212245,1.0369138,0.0,0.0
PRDX6,0.0,0.85897064,0.0,0.0,0.0,0.0
GAS5,0.0,0.0,0.0,0.65752846,0.0,0.0
IER5,0.0,0.0,0.0,1.1599406,0.0,0.0
GLUL,0.0,1.3257418,0.0,1.2996715,0.0,2.427658
LAMC1,0.0,1.2242274,0.0,0.0,0.0,0.0
NCF2,0.0,0.0,0.0,0.96218294,0.0,0.0
ARPC5,0.0,1.0621232,0.8249307,1.655838,0.9002753,0.0
IVNS1ABP,0.0,0.0,0.0,0.52731234,0.0,0.0
PTGS2,0.0,0.0,0.0,0.8745613,0.0,1.8941033
RGS2,0.0,0.0,0.0,1.4069004,0.0,2.8227453
CFH,0.0,2.1782517,0.0,0.0,0.0,0.0
PTPRC,0.0,0.0,2.5043788,2.0854807,0.0,0.0
BTG2,0.0,0.0,0.0,1.0279509,0.0,0.0
PRELP,0.0,2.0301003,0.0,0.0,0.0,0.0
