,Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Myeloid,Neuronal,Pericyte,Smooth Muscle
A2M,0.0,0.8089297413825989,0.0,0.0,0.0,0.0,0.7142857142857143,0.734872647694179
AAK1,0.5631792034421649,0.42857142857142855,0.0,0.60788722549166,0.5391807385853359,0.0,0.0,0.44356984751565115
ABCA1,0.0,0.0,0.7142857142857143,0.0,0.8744363359042576,0.7709619062287467,0.0,0.0
ABCA10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABCA6,0.0,0.0,0.9404078722000122,0.0,0.0,0.8571428571428571,0.0,0.0
ABCA8,0.0,0.0,0.899139438356672,0.0,0.0,0.8571428571428571,0.0,0.0
ABCA9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABCC1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ABCC5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.9332163333892822,0.0
ABCD3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD2,0.8628043191773551,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571
ABI1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABI3BP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABL1,0.0,0.0,0.690272969858987,0.0,0.5714285714285714,0.0,0.6066443749836513,0.5998099446296692
ABL2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ABLIM1,0.748420672757285,0.7146470631871905,0.5714285714285714,0.0,0.0,0.6400936756815229,0.0,0.0
ABLIM3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ABTB2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CAV2-DT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000224063,0.0,0.0,0.9130964534623283,0.0,0.0,0.0,0.8571428571428571,0.0
ENSG00000229618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000275443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
