,Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Myeloid,Neuronal,Pericyte,Smooth Muscle
A2M,0.0,1.647795,0.0,0.0,0.0,0.0,1.0163901,1.1875222
AAK1,1.733682,0.92789936,0.0,1.9313534,1.6028309,0.0,0.0,1.0367463
ABCA1,0.0,0.0,0.7563971,0.0,2.2870953,1.2538354,0.0,0.0
ABCA10,0.0,0.0,2.5389304,0.0,0.0,0.0,0.0,0.0
ABCA6,0.0,0.0,2.6849039,0.0,0.0,1.119994,0.0,0.0
ABCA8,0.0,0.0,2.9426029,0.0,0.0,2.077548,0.0,0.0
ABCA9,0.0,0.0,2.5097985,0.0,0.0,0.0,0.0,0.0
ABCC1,0.0,0.0,0.0,0.0,0.9125869,0.0,0.0,0.0
ABCC5,1.2901444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,1.5393722,0.0,0.0,0.0,0.0,0.0,3.2928758,0.0
ABCD3,0.80768013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD18,0.8263373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD2,1.4419492,0.0,0.0,0.0,0.0,0.0,0.0,1.3848045
ABI1,0.0,0.0,0.0,0.98063815,0.0,0.0,0.0,0.0
ABI3BP,0.0,0.0,1.6749251,0.0,0.0,0.0,0.0,0.0
ABL1,0.0,0.0,1.527545,0.0,0.93822956,0.0,1.2027843,1.1708399
ABL2,0.0,0.0,0.0,0.0,0.0,1.5654883,0.0,0.0
ABLIM1,3.41715,3.0127053,1.0272021,0.0,0.0,1.9778829,0.0,0.0
ABLIM3,0.0,2.0507746,0.0,0.0,0.0,0.0,0.0,0.0
ABR,0.0,0.0,0.0,0.0,1.0567665,0.0,0.0,0.0
ABTB2,0.0,0.0,1.1376143,0.0,0.0,0.0,0.0,0.0
CAV2-DT,0.8436953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000224063,0.0,0.0,1.2819024,0.0,0.0,0.0,0.7798131,0.0
ENSG00000229618,1.4714434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000275443,0.0,0.0,0.0,0.0,0.0,0.0,1.2207626,0.0
ENSG00000260658,1.3631425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000275131,0.97570205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACB,1.6559896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAP2,0.0,0.0,0.0,0.7347084,1.6646894,0.0,0.0,0.0
ACE2,0.0,0.0,0.0,0.0,0.0,0.0,0.81389487,0.0
ACER3,0.0,1.3906603,0.0,0.0,0.8911896,0.0,0.0,0.0
ACO2,0.7612879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT11,1.1285868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL1,0.0,0.0,0.0,0.0,2.5885882,0.0,0.0,0.0
ACSL4,0.0,0.0,1.1954195,0.0,0.0,0.0,0.0,0.0
ACSM3,0.0,0.0,1.1568302,0.0,0.0,0.0,0.0,0.0
ACSS3,1.1927737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8265201
ACTN1,0.73325276,0.0,0.0,0.0,0.0,0.0,0.0,1.3681961
ACTN2,2.3589363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTN4,1.1032336,1.4635229,0.0,0.0,0.0,0.0,0.0,0.0
ACTR2,0.0,0.0,0.0,0.0,0.73164713,0.0,0.0,0.0
ACTR3,0.0,0.0,0.0,0.0,0.7447111,0.0,0.0,0.0
ACYP2,1.4867513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM10,1.1322072,0.0,0.0,1.0282532,1.0560942,0.0,0.0,0.0
ADAM17,0.0,0.0,1.0540799,0.0,0.0,0.0,0.0,0.0
ADAM19,0.0,0.0,0.0,0.0,0.0,1.419438,0.0,0.0
ADAM23,0.8682526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM9,0.7915024,0.0,0.0,0.0,1.2958028,0.0,0.0,0.0
ADAMTS1,0.0,0.0,0.0,0.0,0.0,0.0,2.2639806,3.1002402
ADAMTS12,0.0,0.0,0.0,0.0,0.0,0.0,0.98291814,0.0
ADAMTS4,0.0,0.0,0.0,0.0,0.0,0.0,1.855047,3.0693014
ADAMTS9,0.0,4.567424,0.0,0.0,0.0,0.0,3.6008782,4.8847456
ADAMTS9-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1021583
ENSG00000241684,1.3766044,0.0,0.0,0.0,0.0,2.288023,2.3253026,1.77787
ADAMTSL3,0.0,0.0,1.7824798,0.0,0.0,0.0,2.038817,0.0
ADCY3,0.0,0.0,0.0,0.0,0.0,0.0,1.3925898,2.2214081
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.8493221,0.81391644
ADCY9,0.7742549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD3,0.0,0.0,1.5248679,0.0,0.0,1.9477983,0.0,0.0
ADGRA3,0.73912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRB3,0.0,0.0,2.2309303,0.0,0.0,3.596588,2.6493556,2.03551
ADGRD1,0.0,0.0,0.9936108,0.0,0.0,0.0,0.0,0.0
ADGRF5,0.0,2.3044324,0.0,0.0,0.0,0.0,0.0,0.0
ADGRG6,0.0,0.0,0.0,0.0,0.0,1.3307723,0.0,0.0
ADGRL2,1.102494,1.3688512,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL3,0.0,0.0,1.0482091,0.0,0.0,2.256228,1.3386602,0.0
ADGRL4,0.0,2.184351,0.0,0.0,0.0,0.0,0.0,0.0
ADH1B,0.0,0.0,1.6436574,0.0,0.0,0.0,0.0,0.0
ADIPOR2,0.0,1.4457824,0.0,0.0,0.0,0.0,0.0,0.0
ADK,1.271743,0.0,0.0,1.2082345,0.0,1.9864086,0.0,0.0
ADRA1A,0.7265707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDN,0.0,3.0981336,0.8912716,0.0,0.0,0.0,0.0,0.0
AFF1,1.2500908,1.6332155,1.7904066,1.5023947,2.4518738,0.0,1.2095078,1.4712399
AFF4,1.0994797,0.0,1.0689815,0.0,1.1283393,0.0,1.1432244,1.3824444
AGAP1,0.75427175,1.1578021,1.5023491,0.0,0.0,2.5944345,1.6217101,0.0
AGFG1,0.0,0.0,1.1263633,0.0,2.5083084,0.0,0.0,0.0
AGO2,0.0,0.0,0.7826662,0.0,0.0,0.0,0.0,0.9944814
AGO3,0.0,0.0,1.2246939,0.0,0.0,0.0,0.0,0.0
AGT,0.0,0.0,0.0,0.0,0.0,0.0,1.0603348,0.0
AGTPBP1,0.0,0.0,0.0,1.4186617,1.4542756,0.0,0.0,0.0
AHI1,1.3137181,0.0,1.5391568,0.0,0.0,0.0,0.0,0.8756678
AHNAK,0.0,0.0,0.0,0.0,0.0,1.1816925,0.0,0.0
AIG1,0.69603467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP10,0.0,0.0,0.0,0.0,1.1296134,0.0,0.0,0.0
AKAP12,0.0,2.3256779,0.9799448,0.0,0.0,0.0,0.0,2.1004379
AKAP13,3.5247612,1.342984,2.6306105,2.4013114,2.9255738,2.1709936,2.2100077,2.2846484
AKAP6,3.23585,0.0,0.0,0.0,0.0,0.0,0.0,1.1671677
AKAP9,1.4144675,0.0,1.085649,1.4016411,1.1403577,1.1088494,1.01353,0.0
AKNA,0.0,0.0,0.0,1.8833904,0.0,0.0,0.0,0.0
AKT3,0.0,2.1679032,2.384966,2.3807998,0.0,2.4839904,2.2508893,1.6491517
PDE7B-AS1,0.0,0.0,0.0,0.0,0.0,0.0,1.089169,0.0
ENSG00000230490,0.0,0.0,0.0,0.0,0.0,2.5474072,0.0,0.0
TRDN-AS1,2.035193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.0,0.0,0.0,0.0,0.0,1.3710405,0.0,0.0
ALDH1A1,0.0,0.0,0.0,0.0,0.0,1.3067006,0.0,0.0
ALG13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85837007
ALOX5,0.0,0.0,0.0,0.0,1.0842869,0.0,0.0,0.0
ALPK2,1.6271917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPK3,1.2551341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK2,2.7234905,0.0,0.0,0.0,0.0,2.5877733,0.0,0.0
ANK3,2.5266879,0.0,0.0,1.1478456,0.0,3.781059,0.0,0.0
ANKH,1.4197159,0.0,1.3491864,0.0,0.8124974,0.0,0.9152274,0.0
ANKRD1,2.0106215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD10,0.0,0.0,0.92210495,0.0,0.0,1.364063,1.1703779,0.0
ANKRD11,1.3372602,1.5861701,1.3723578,2.116494,1.622036,1.2506242,1.3600125,1.4966066
ANKRD17,1.823566,1.580632,1.7361813,1.6215475,1.638124,1.4595789,1.7547201,1.8479257
ANKRD28,0.0,0.0,0.0,0.0,0.0,0.9603624,0.0,0.0
ANKRD36,0.0,0.0,0.0,1.4861344,0.0,0.0,0.0,0.0
ANKRD36C,0.0,0.0,0.0,1.349717,0.0,0.0,0.0,0.0
ANKRD44,0.0,0.0,1.3649307,2.7535305,1.3805474,0.8678515,1.222873,0.0
ANKS1A,0.798899,0.0,0.0,0.0,1.6389875,0.0,0.83566177,0.0
ANO1,0.0,0.0,0.0,0.0,0.0,0.0,0.8375888,1.116117
ANO2,0.0,3.3979166,0.0,0.0,0.0,0.0,0.0,0.0
ANO5,0.85220397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANO6,0.75462985,0.89097774,1.150739,0.0,0.0,0.0,0.0,0.0
ANTXR1,0.0,0.0,0.0,0.0,0.0,1.4244494,0.0,0.0
ANTXR2,0.0,0.0,1.4000249,0.0,0.0,0.0,0.0,0.0
ANXA2,0.0,0.0,0.77287155,0.0,0.0,1.1508127,0.0,0.0
ANXA3,0.0,1.4990323,0.0,0.0,0.0,0.0,0.0,0.0
AOAH,0.0,0.0,0.0,2.8803868,1.206382,0.0,0.0,0.0
AP1S2,0.9382291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP2A2,0.0,0.0,0.0,0.0,1.7437329,0.0,0.0,0.0
AP3B1,0.0,0.0,0.97083604,0.0,1.4397357,0.0,0.0,0.0
APBB1IP,0.0,0.0,0.0,1.6528172,0.0,0.0,0.0,0.0
APBB2,0.0,2.1213202,0.0,0.0,0.0,0.0,2.2448308,2.554346
APOD,0.0,0.0,1.7216954,0.0,0.0,0.0,0.0,0.0
APOLD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4663376
APP,0.0,2.019968,1.7723391,0.0,1.598725,1.4531443,0.0,0.0
ARAP2,0.0,0.0,0.0,2.0491047,1.2090955,1.8467255,0.0,0.0
ARFGEF1,0.8413613,0.0,0.9244834,1.2094256,0.0,0.0,0.0,0.0
ARFGEF2,0.86809206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGLU1,0.0,1.6770437,1.243203,1.11288,0.0,0.8994095,1.2728525,1.3135687
ARHGAP10,1.2624903,0.0,1.8450038,0.0,0.0,0.0,2.257121,2.1676748
ARHGAP15,0.0,0.0,0.0,3.1313927,1.748323,1.6484729,1.0921214,0.0
ARHGAP17,0.0,0.0,0.0,0.0,0.0,0.0,1.0721942,0.0
ARHGAP18,0.0,0.0,0.0,0.0,2.3908048,0.0,0.0,0.0
ARHGAP21,0.0,0.0,1.3397508,0.0,0.8127052,0.0,0.0,0.0
ARHGAP24,1.7090775,0.0,1.9811363,0.0,1.9553117,3.0128367,0.0,0.0
ARHGAP26,1.9986622,2.2999792,0.0,1.9987215,2.9926474,0.0,2.8016555,3.2586994
ARHGAP29,0.0,2.0468006,0.0,0.0,0.0,0.0,1.4067374,0.0
ARHGAP31,0.850204,1.8677098,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP32,0.0,0.0,0.95536375,0.0,0.0,0.97534174,0.0,0.0
ARHGAP42,0.0,0.0,0.0,0.0,0.0,1.928458,1.9441125,1.3534307
ARHGAP5,1.2889053,0.0,0.0,0.0,0.0,1.1629171,0.0,0.0
ARHGAP6,0.0,0.0,1.2685193,0.0,1.8467261,0.0,2.2215915,1.655134
ARHGEF12,1.6456808,1.616192,1.414055,0.0,0.0,1.8712665,1.9606247,1.7498927
ARHGEF26,0.0,0.0,0.0,0.0,0.0,1.5460213,0.0,0.0
ARHGEF3,0.0,0.0,0.0,1.6696571,0.0,0.0,0.0,0.0
ARHGEF7,0.0,1.7632744,0.0,0.0,0.0,0.0,2.2460895,2.3540714
ARID1B,1.7802556,1.9655356,2.242508,2.4013116,2.0134747,1.8974601,2.1557727,1.9849877
ARID2,0.9399841,0.0,1.1665581,1.3615825,1.1892662,0.0,1.159489,1.0461082
ARID4B,0.80309415,1.4200325,1.3573811,2.0521777,1.4681348,1.2086834,1.4644809,1.4996405
ARID5B,1.2386584,0.0,1.8084812,2.1385512,0.0,0.0,1.1914158,1.9326576
ARIH1,1.1383348,1.2117401,1.2951283,1.4343541,1.3974983,1.070113,1.5467483,1.5714285
ARIH2,0.9238875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL15,1.3648221,1.9789838,1.4449768,1.8749202,1.9753652,0.0,0.0,0.0
ARPC2,0.0,0.0,0.0,0.0,0.92858493,0.0,0.0,0.0
ASAH1,0.98759806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAP1,1.2446089,2.3523843,1.3962388,0.0,2.2783337,0.0,1.8900284,0.0
ASAP2,0.0,0.0,1.1093259,0.0,0.0,2.1922622,1.4881213,1.0505724
ASB18,0.7189878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCC3,0.0,0.0,1.2706356,0.77493215,0.0,0.0,0.0,0.0
ASH1L,1.5675876,1.3956671,1.6187831,1.8407172,1.7719337,1.3977274,1.7096335,1.6902556
ASPH,0.71488434,0.0,1.1960227,0.0,1.0653539,1.5259937,0.0,0.0
ASTN2,0.0,0.0,0.0,0.0,0.0,2.528447,0.0,0.0
ASXL1,0.0,0.0,0.9612597,0.0,0.0,0.0,0.0,0.0
ATAD2B,0.0,0.0,0.9396516,0.0,0.9662237,0.0,0.0,0.0
ATF6,0.0,0.0,0.0,0.0,1.5608146,0.0,0.0,0.0
ATF7IP,0.0,0.0,0.0,2.0108085,0.0,0.0,0.0,0.0
ATG7,0.0,0.0,0.0,0.0,2.2427588,0.0,0.0,0.0
ATM,0.0,0.0,0.0,2.0077791,1.3681979,0.0,0.0,0.0
ATP11A,1.637957,0.0,0.0,0.0,0.69907475,0.0,0.0,0.0
ATP11B,0.0,0.0,0.0,1.0763184,0.0,0.0,0.0,0.0
ATP13A3,0.74314415,1.1551142,0.8136833,0.0,0.85456467,0.0,0.0,0.0
ATP1B1,0.85212684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B3,0.0,0.0,0.0,0.0,0.0,0.0,1.56849,3.281343
ATP2A2,2.4530163,0.0,0.0,0.0,0.0,0.0,0.0,1.2911953
ATP2B1,0.0,0.0,0.0,1.0696111,1.1694206,0.0,0.0,0.0
ATP2B4,1.3152611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP8A1,0.0,0.0,0.0,1.970573,0.0,0.0,0.0,0.0
ATP8B4,0.0,0.0,0.0,0.0,2.1066604,0.0,0.0,0.0
ATP9B,0.71196425,0.0,0.8805516,0.761029,1.1986847,0.0,0.9701743,1.2221127
ATRX,1.1089175,1.471745,1.3593132,1.9017291,1.4902487,1.1156998,1.567863,1.4777439
ATXN1,1.7740135,0.0,0.71210104,2.6771798,2.1875062,0.0,1.1330985,0.86711144
ATXN10,0.0,0.0,1.0053275,0.0,0.0,0.0,0.0,0.0
ATXN2,0.92937255,0.0,0.8238881,0.0,1.1035364,0.0,0.87447834,0.0
ATXN7,0.0,0.0,0.0,1.0081999,0.0,0.0,0.0,0.0
AUH,0.94678557,0.0,0.78883934,0.0,0.0,0.0,0.0,0.0
AUTS2,0.78544855,2.404665,2.0925078,0.0,2.1876824,0.0,2.884135,2.3257375
AXL,0.0,0.0,0.0,0.0,0.0,0.0,0.7923614,1.5908748
B2M,0.0,1.8391209,0.0,1.9290445,0.70448726,0.0,0.0,0.0
B4GALNT3,1.4659528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4GALT1,0.95335066,0.0,0.90841377,0.0,0.0,0.0,0.0,0.0
B4GALT5,0.0,1.1846775,0.0,0.0,0.0,0.0,0.0,0.0
BABAM2,1.4327726,0.0,0.7750117,1.2072089,1.2636728,0.0,0.0,0.0
BACH1,0.73511285,0.0,1.0438378,0.0,1.5895779,1.1088494,0.0,1.286059
BACH2,0.0,0.0,1.2649488,0.0,0.0,2.6393359,0.0,0.0
BAZ1A,0.0,0.0,0.0,0.38742694,1.0035757,0.0,0.0,0.0
BAZ2B,1.2527629,1.6181343,1.4702597,0.0,1.88153,1.2343236,1.6851074,1.4367936
BBX,0.0,0.0,1.1687319,1.6549491,0.8887353,0.0,1.2782464,0.0
BCAS3,1.1535527,0.0,0.8679317,1.625807,1.0202892,0.0,1.7076588,1.7337146
BCAT1,0.0,0.0,0.0,0.0,1.2322559,0.0,0.0,0.0
BCKDHB,1.0996801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL11B,0.0,0.0,0.0,1.8351269,0.0,0.0,0.0,0.0
BCL2,0.0,0.0,0.0,1.9772487,0.0,2.9237025,0.0,0.0
BCL2L13,0.74747777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL6,0.7483567,0.0,1.5292652,0.0,0.0,0.0,1.2551341,1.0528965
BICC1,0.0,0.0,2.9982934,0.0,0.0,0.0,0.0,0.0
BIRC6,1.1794257,1.5748361,1.5669872,2.050332,1.8544104,1.3761065,1.7184021,1.5746851
BMP2K,0.0,0.0,0.0,0.0,1.9020523,0.0,0.0,0.0
BMP5,0.0,0.0,0.0,0.0,0.0,0.0,1.1006849,0.0
BMPR1A,1.008359,0.0,0.7908433,0.0,0.0,0.0,0.0,0.0
BMPR2,0.8729336,2.1624384,1.339231,0.0,0.0,0.0,0.0,1.5902226
BNC2,0.0,0.0,2.557395,0.0,0.0,0.0,0.0,0.0
BNIP3L,0.0,0.0,1.3418868,0.0,1.2210996,0.0,0.0,0.0
BPTF,0.7942511,0.0,0.8447157,1.7075047,0.8114887,0.0,0.0,0.0
BRAF,1.2000207,1.0970814,1.3937278,1.277421,1.1493378,1.4316807,1.4871929,1.4837569
BRD4,0.0,0.0,0.9748789,0.0,0.0,0.0,0.0,0.87575006
BRWD1,0.8532852,0.0,1.1984422,1.5241659,1.0351545,0.0,1.1070836,0.0
BTAF1,0.0,0.0,0.0,0.0,0.74112636,0.0,0.0,0.9391346
BTBD9,1.695004,0.0,0.0,1.5777297,0.0,0.0,2.0935133,2.912519
BTNL9,0.0,2.2844503,0.0,0.0,0.0,0.0,0.0,0.0
BTRC,0.7512429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BZW2,0.8031962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMH3,1.1310333,0.0,0.0,0.0,1.0804801,0.0,0.0,0.0
DGLUCY,0.90371305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIN1,2.7042923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QTNF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6305686
C1R,0.0,0.0,1.2747066,0.0,0.0,0.0,0.0,0.0
C1S,0.0,0.0,1.6102384,0.0,0.0,0.0,0.0,0.0
ENSG00000203709,0.7142452,0.0,0.0,0.0,0.0,0.0,0.0,1.1888691
C1orf21,1.5192679,1.8466506,1.4702597,0.0,0.0,1.489583,2.1837099,1.5408652
DNAAF9,0.79611665,0.0,0.0,0.0,1.5620544,0.0,0.8697399,0.0
C3,0.0,0.0,1.489716,0.0,0.0,0.0,0.0,0.0
C7,0.0,0.0,2.5689278,0.0,0.0,0.0,0.0,0.0
TCIM,0.0,1.2078605,0.0,0.0,0.0,0.0,0.0,0.0
AOPEP,2.1444073,0.0,1.4824396,0.0,0.0,1.668608,1.1397064,2.0005965
