clusterName,NSForest_markers,f_score,onTarget,precision,recall
Stromal pericytes,"['AGT', 'NDUFA4L2']",0.3811892380737056,1.0,0.3560567663456665,0.5311574569970386
MT-high fibroblasts,"['MT-ATP8', 'MFAP4']",0.8227649913887585,1.0,0.9448040273282992,0.5424796118509343
Basic SMC,['ZFHX3'],0.4238791845747407,0.4528481066226959,0.5675818373812038,0.2105984915270839
Arterial SMC,['ITGA8'],0.5246993238011666,1.0,0.6043400713436385,0.3435862768294744
Atria-enriched pericytes,"['STEAP4', 'RBMS3-AS3', 'MAP1B']",0.1791230988593156,0.3365342915058136,0.2015374331550802,0.1239720394736842
Ventricle-enriched pericytes,"['EGFLAM', 'FRMD3']",0.6650829080411803,0.3941549658775329,0.7824118905528656,0.4157203881636414
CMC-like pericytes,"['FHL2', 'AOPEP', 'EGFLAM', 'GUCY1A2', 'FHOD3', 'TTN-AS1']",0.3977350252421885,0.3719754219055176,0.5906788247213779,0.1724341910677314
Ventricular cardiomyocytes,"['TENM2', 'FHL2']",0.8765305092598964,0.7935922145843506,0.9609895636866592,0.6485370738081904
Atrial cardiomyocytes,"['ZNF385B', 'CADPS']",0.610385955304033,1.0,0.8731298623578695,0.2769838804321562
Cytoplasmic cardiomyocytes,"['NPPA', 'MYL4']",0.4926038976285513,0.5318220853805542,0.7302471284371737,0.2140161175150464
Neuronal cells,['NRXN1'],0.835008480432188,1.0,0.868648913576213,0.7230078868642915
Mast cells,"['CPA3', 'KIT']",0.8323501018985305,1.0,0.9706066291432144,0.5302357362487188
Myeloid,"['MS4A6A', 'CD163']",0.7775482965332351,1.0,0.944116517061926,0.4558501129886337
Mesothelial cells,"['HAS1', 'NTNG1']",0.6925837320574163,1.0,0.932367149758454,0.3413915094339622
Fibroblast-like endothelial cells,"['GMDS', 'ABCA6', 'ANO2', 'NEGR1', 'PITPNC1', 'CDH19']",0.2028258887876025,0.2785117030143738,0.2292337411461687,0.1388455538221528
Fibroblasts,['BICC1'],0.7067878102241392,0.4436418712139129,0.7555973815894901,0.5616606920111926
Adipocytes,"['ADIPOQ', 'PLIN1']",0.7463609688740579,1.0,0.939865966310451,0.4092916863858652
Atria-enriched endothelial cells,"['PCDH15', 'POSTN']",0.661408121530821,1.0,0.9229514879739096,0.3100095851020129
Lymphatic endothelial cells,"['CCL21', 'MMRN1']",0.647800886464371,1.0,0.9806451612903224,0.274765003615329
Venous endothelial cells,"['RAMP3', 'SLCO2A1']",0.4610051753244956,0.7415196299552917,0.4788702026735661,0.4011438892233594
CMC-like endothelial cells,"['ANO2', 'MB', 'PITPNC1', 'CRYAB']",0.1392363241610421,0.261033296585083,0.1657303370786516,0.0849287462213905
Lymphoid,['PARP8'],0.4747936760465348,1.0,0.6476771787046457,0.2296225054099543
NK cells,"['PRF1', 'GZMB', 'CD247']",0.713070115724983,1.0,0.8067000385059684,0.4869827986982799
Arterial endothelial cells,"['HEY1', 'TM4SF1']",0.5325255484971119,0.645510196685791,0.6505538032714736,0.3085835565916286
Capillary endothelial cells,"['RGCC', 'CLDN5']",0.632976812866664,0.4652261137962341,0.776733024804721,0.3637145412433784
Immune-related endothelial cells,"['CCL2', 'CX3CL1', 'IL32']",0.3028383172833249,1.0,0.41421143847487,0.1459096459096459
