,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
HES4,0.0,0.0,0.0,0.0,0.0,1.3518417,0.602391,0.0
ISG15,0.0,0.32424083,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.5673747,0.6410497,0.9873074,0.0,0.57796717,0.54732585,0.7450814,0.6074265
MXRA8,0.0,0.0,1.4360911,0.0,0.0,0.0,0.5337955,1.3617914
AURKAIP1,0.68909717,0.6604322,0.72651553,0.7575069,0.7839088,0.90377843,0.78692234,0.7657849
CCNL2,0.43549782,0.5299867,0.34260002,0.0,0.0,0.0,0.0,0.0
MRPL20,0.8315503,0.75910515,0.8218293,0.58522546,0.77273023,0.994576,0.9794079,0.86143565
VWA1,0.79371953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.5769387,0.4268512,0.52909696,0.0,0.6433865,0.5945691,0.5897311,0.5027966
MMP23B,0.0,0.0,0.54013,0.0,0.0,0.0,0.0,0.0
GNB1,0.8671707,0.7806094,0.5975232,0.2013169,1.0018249,0.69527906,0.6477061,0.62617135
FAAP20,0.34514958,0.0,0.3698638,0.0,0.4599757,0.54233605,0.4389454,0.43073446
SKI,0.0,0.5622589,0.0,0.0,0.0,0.0,0.0,0.0
RER1,0.53695095,0.5196452,0.7804493,0.0,0.7438097,0.7399787,0.6627022,0.8001459
TNFRSF14,0.0,0.25905147,0.0,0.0,0.3829786,0.0,0.0,0.0
RPL22,2.9970336,2.8393033,2.5845966,2.8378284,2.6187274,2.5406091,2.731871,2.6018484
CAMTA1,0.6888093,0.61241424,0.5307356,0.0,0.59037614,1.0129154,1.0998361,0.5296993
VAMP3,0.6988964,0.55972296,0.4556622,0.0,0.5755732,0.53112555,0.6112558,0.5366263
PARK7,1.1680114,0.9887943,1.3889441,1.1318157,1.0987623,1.5945132,1.7360957,1.3128235
ERRFI1,0.0,0.0,0.4164065,0.0,0.0,0.0,0.0,0.0
RERE,0.37475905,0.0,0.0,0.0,0.0,0.0,0.31844023,0.0
ENO1,1.147243,1.0053824,1.3759685,1.144208,1.6429231,1.1202955,1.4536047,1.2054799
CLSTN1,0.0,0.0,0.2972461,0.0,0.0,0.0,0.0,0.0
RBP7,1.364562,0.56869483,0.0,0.0,0.0,0.0,0.0,0.0
KIF1B,0.0,0.0,0.0,0.0,0.26593226,0.0,0.0,0.0
PGD,0.0,0.0,0.0,0.0,0.4148847,0.0,0.0,0.0
