clusterName,NSForest_markers,f_score,onTarget,precision,recall
Papillary Tip Epithelial Cell,"['ENSG00000174226', 'ENSG00000142973']",0.7894736842105263,1.0,1.0,0.4285714285714285
Degenerative Inner Medullary Collecting Duct Cell,"['ENSG00000095303', 'ENSG00000171303', 'ENSG00000155893']",0.6012658227848101,0.6296993494033813,0.7037037037037037,0.38
Inner Medullary Collecting Duct Cell,"['ENSG00000228624', 'ENSG00000249853', 'ENSG00000223561']",0.6818181818181818,0.7001917362213135,0.8076923076923077,0.42
Descending Thin Limb Cell Type 3,"['ENSG00000249776', 'ENSG00000145721', 'ENSG00000224184']",0.6140350877192983,1.0,0.875,0.28
Ascending Thin Limb Cell,"['ENSG00000184374', 'ENSG00000275395']",0.6159420289855072,0.7728468179702759,0.7727272727272727,0.34
Degenerative Ascending Thin Limb Cell,"['ENSG00000140600', 'ENSG00000109846']",0.6159420289855072,0.250054121017456,0.7727272727272727,0.34
Cycling Proximal Tubule Epithelial Cell,"['ENSG00000165304', 'ENSG00000167766']",0.4347826086956521,0.1171207427978515,0.4705882352941176,0.3333333333333333
Descending Thin Limb Cell Type 2,"['ENSG00000235139', 'ENSG00000188883']",0.6626506024096386,0.7052695155143738,0.7333333333333333,0.4782608695652174
Descending Thin Limb Cell Type 1,"['ENSG00000150471', 'ENSG00000007062']",0.6796116504854369,0.3034691214561462,0.875,0.358974358974359
Degenerative Descending Thin Limb Cell Type 3,"['ENSG00000115641', 'ENSG00000133475']",0.7865168539325843,1.0,0.875,0.56
Degenerative Cortical Intercalated Cell Type A,"['ENSG00000213185', 'ENSG00000013306', 'ENSG00000130203']",0.660377358490566,0.5685417056083679,1.0,0.28
Intercalated Cell Type B,"['ENSG00000091137', 'ENSG00000188175']",0.7746478873239436,0.909312903881073,0.9565217391304348,0.44
Degenerative Medullary Fibroblast,"['ENSG00000085662', 'ENSG00000171345']",0.2406417112299465,0.116233542561531,0.2222222222222222,0.36
Degenerative Endothelial Cell,"['ENSG00000142089', 'ENSG00000184831']",0.425531914893617,0.2141976803541183,0.7272727272727273,0.16
Degenerative Cortical Thick Ascending Limb Cell,"['ENSG00000198431', 'ENSG00000124107']",0.635593220338983,0.2344756722450256,0.8823529411764706,0.3
Neutrophil,['ENSG00000143546'],0.8168316831683168,1.0,0.868421052631579,0.66
Non-classical Monocyte,"['ENSG00000085265', 'ENSG00000028277']",0.6343283582089553,1.0,0.8095238095238095,0.34
T Cell,['ENSG00000168685'],0.6470588235294118,1.0,0.7333333333333333,0.44
B Cell,['ENSG00000156738'],0.7731958762886598,1.0,0.8333333333333334,0.6
Degenerative Podocyte,"['ENSG00000166033', 'ENSG00000107742']",0.8734939759036144,0.6857129335403442,1.0,0.58
Mesangial Cell,"['ENSG00000188517', 'ENSG00000133816']",0.7105263157894737,0.5327728986740112,0.7714285714285715,0.54
Podocyte,"['ENSG00000139304', 'ENSG00000178038']",0.9020618556701032,1.0,0.9722222222222222,0.7
Descending Vasa Recta Endothelial Cell,"['ENSG00000141469', 'ENSG00000116833']",0.6363636363636364,1.0,0.9333333333333332,0.28
Ascending Vasa Recta Endothelial Cell,"['ENSG00000148488', 'ENSG00000283632']",0.72,1.0,0.9473684210526316,0.3673469387755102
Degenerative Peritubular Capilary Endothelial Cell,"['ENSG00000102755', 'ENSG00000184005', 'ENSG00000228716', 'ENSG00000142798']",0.4901960784313725,0.112166054546833,0.5769230769230769,0.3061224489795918
Cycling Endothelial Cell,"['ENSG00000178878', 'ENSG00000165304']",0.5454545454545454,0.8491681218147278,0.8,0.24
Lymphatic Endothelial Cell,['ENSG00000138722'],0.8883248730964467,1.0,0.945945945945946,0.7142857142857143
Vascular Smooth Muscle Cell,"['ENSG00000156113', 'ENSG00000122367']",0.7666666666666667,1.0,0.92,0.46
Renin-positive Juxtaglomerular Granular Cell,['ENSG00000143839'],0.9541984732824428,1.0,0.9433962264150944,1.0
Vascular Smooth Muscle Cell / Pericyte,"['ENSG00000131711', 'ENSG00000113721']",0.5067567567567568,0.3093965351581573,0.6,0.3125
Degenerative Connecting Tubule Cell,"['ENSG00000162896', 'ENSG00000145536', 'ENSG00000104327']",0.5,0.2858224511146545,0.9,0.18
Connecting Tubule Cell,"['ENSG00000251504', 'ENSG00000165685', 'ENSG00000226674']",0.4477611940298507,0.1189110502600669,0.5714285714285714,0.24
Distal Convoluted Tubule Cell Type 2,"['ENSG00000165973', 'ENSG00000070915']",0.5371900826446281,0.3065932691097259,0.5416666666666666,0.52
Cortical Thick Ascending Limb Cell,"['ENSG00000113946', 'ENSG00000036672', 'ENSG00000123572']",0.6015037593984962,1.0,0.7619047619047619,0.3265306122448979
Degenerative Medullary Thick Ascending Limb Cell,"['ENSG00000169344', 'ENSG00000074803', 'ENSG00000036828']",0.3947368421052631,0.1489686071872711,0.4054054054054054,0.3571428571428571
Medullary Thick Ascending Limb Cell,"['ENSG00000282278', 'ENSG00000165973']",0.7258064516129032,0.615511953830719,0.8571428571428571,0.45
Degenerative Outer Medullary Collecting Duct Principal Cell,"['ENSG00000002726', 'ENSG00000166828', 'ENSG00000085563']",0.4642857142857143,0.2272290736436844,0.5652173913043478,0.2708333333333333
Transitional Principal-Intercalated Cell,"['ENSG00000160951', 'ENSG00000130222', 'ENSG00000259120']",0.7142857142857143,0.3111190497875213,0.9473684210526316,0.36
Connecting Tubule Principal Cell,"['ENSG00000159167', 'ENSG00000104327']",0.5072463768115942,0.5493549108505249,0.6363636363636364,0.28
Degenerative Distal Convoluted Tubule Cell,"['ENSG00000121769', 'ENSG00000263146', 'ENSG00000104332']",0.7792207792207793,1.0,0.9230769230769232,0.48
Parietal Epithelial Cell,"['ENSG00000112414', 'ENSG00000000971']",0.6372549019607843,0.8684563636779785,1.0,0.26
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,"['ENSG00000171759', 'ENSG00000171766']",0.7017543859649122,0.6805351376533508,1.0,0.32
Degenerative Proximal Tubule Epithelial Cell,"['ENSG00000259579', 'ENSG00000164626', 'ENSG00000259347']",0.6818181818181818,1.0,0.8076923076923077,0.42
Proximal Tubule Epithelial Cell Segment 3,"['ENSG00000156222', 'ENSG00000249252']",0.7246376811594203,0.7617336511611938,0.9090909090909092,0.4
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,"['ENSG00000284377', 'ENSG00000170579']",0.6790123456790124,0.4004001021385193,0.7857142857142857,0.44
Degenerative Fibroblast,"['ENSG00000139329', 'ENSG00000142173']",0.8116883116883117,1.0,0.9615384615384616,0.5
Degenerative Vascular Smooth Muscle Cell,"['ENSG00000198467', 'ENSG00000109610']",0.8620689655172413,1.0,0.967741935483871,0.6
Cycling Natural Killer Cell / Natural Killer T Cell,"['ENSG00000166803', 'ENSG00000183918']",0.8928571428571429,1.0,1.0,0.625
Natural Killer Cell / Natural Killer T Cell,"['ENSG00000105374', 'ENSG00000275302']",0.7795698924731183,1.0,0.8529411764705882,0.58
Afferent / Efferent Arteriole Endothelial Cell,"['ENSG00000135919', 'ENSG00000108622']",0.6185567010309279,1.0,1.0,0.2448979591836734
Glomerular Capillary Endothelial Cell,"['ENSG00000167941', 'ENSG00000145708']",0.746268656716418,1.0,0.9523809523809524,0.4
Plasmacytoid Dendritic Cell,['ENSG00000267337'],0.9009009009009008,1.0,1.0,0.6451612903225806
Classical Dendritic Cell,['ENSG00000131203'],0.8536585365853658,1.0,0.8974358974358975,0.7142857142857143
Cycling Mononuclear Phagocyte,"['ENSG00000146143', 'ENSG00000185811', 'ENSG00000101639']",0.4878048780487805,0.1946847140789032,0.631578947368421,0.2553191489361702
M2 Macrophage,"['ENSG00000260314', 'ENSG00000137491']",0.7142857142857143,1.0,0.9473684210526316,0.36
Monocyte-derived Cell,"['ENSG00000198223', 'ENSG00000136250', 'ENSG00000059377']",0.3875968992248062,0.2851990461349487,0.5,0.2040816326530612
Mast Cell,['ENSG00000185052'],0.8908045977011494,0.7994572520256042,1.0,0.62
Plasma Cell,"['ENSG00000167077', 'ENSG00000183508']",0.7894736842105263,1.0,1.0,0.4285714285714285
Schwann Cell / Neural,['ENSG00000179915'],0.9523809523809524,1.0,1.0,0.8
Medullary Fibroblast,"['ENSG00000182256', 'ENSG00000259275']",0.7092198581560284,1.0,0.8695652173913043,0.4081632653061224
Adaptive / Maladaptive / Repairing Fibroblast,"['ENSG00000168477', 'ENSG00000077942', 'ENSG00000185070']",0.594059405940594,0.4288089275360107,0.9230769230769232,0.2448979591836734
Fibroblast,"['ENSG00000198121', 'ENSG00000112936']",0.5670103092783505,0.3775143027305603,0.6111111111111112,0.44
