cluster_name,skos,manual_mapped_cid,cell_ontology_id
Antigen presenting cell (RPS high),,,CL:0000145
B cell,,,CL:0000236
B cell (Plasmocyte),,,CL:0000786
Dendritic cell,,,CL:0000451
Endothelial cell,,,CL:0000115
Endothelial cell (APC),,,CL:0000115
Endothelial cell (endothelial to mesenchymal transition),,,CL:0000115
Enterocyte progenitor,,,CL:0000584
Epithelial cell,,,CL:0000066
Fetal epithelial progenitor,,,CL:0000066
Intercalated cell,,,CL:0005010
Loop of Henle,,,CL:1000909
Macrophage,,,CL:0000235
Mast cell,,,CL:0000097
Monocyte,,,CL:0000576
Neutrophil,,,CL:0000775
Proximal tubule progenitor,,,CL:0002306
Sinusoidal endothelial cell,,,CL:0000066
Smooth muscle cell,,,CL:0000192
Stromal cell,,,CL:0000499
T cell,,,CL:0000084
Ureteric bud cell,,,CL:0000066
