cluster_name,skos,manual_mapped_cid,cell_ontology_id
Ascending vasa recta endothelium,,,CL:1001131
B cell,,,CL:0000236
CD4 T cell,,,CL:0000624
CD8 T cell,,,CL:0000625
Connecting tubule,,,CL:1000768
Descending vasa recta endothelium,,,CL:1001285
Distinct proximal tubule 1,,,CL:0002306
Distinct proximal tubule 2,,,CL:0002306
Epithelial progenitor cell,,,CL:0011026
Fibroblast,,,CL:1000692
Glomerular endothelium,,,CL:0002188
Indistinct intercalated cell,,,CL:0005010
MNP-a/classical monocyte derived,,,CL:0000860
MNP-b/non-classical monocyte derived,,,CL:0000875
MNP-c/dendritic cell,,,CL:0000451
MNP-d/Tissue macrophage,,,CL:1000698
Mast cell,,,CL:0000097
Myofibroblast,,,CL:0000186
NK cell,,,CL:0000623
NKT cell,,,CL:0000814
Neutrophil,,,CL:0000775
Pelvic epithelium,,,CL:0002518
Peritubular capillary endothelium 1,,,CL:0002144
Peritubular capillary endothelium 2,,,CL:0002144
Plasmacytoid dendritic cell,,,CL:0000784
Podocyte,,,CL:0000653
Principal cell,,,CL:0005009
Proliferating Proximal Tubule,,,CL:0002306
Proximal tubule,,,CL:0002306
Thick ascending limb of Loop of Henle,,,CL:1001106
Type A intercalated cell,,,CL:0005011
Type B intercalated cell,,,CL:0002201
