clusterName,NSForest_markers,f_score,onTarget,precision,recall
Myofibroblast,['TAGLN'],0.9145129224652088,1.0,0.9484536082474226,0.8
Fibroblast,['LUM'],0.925925925925926,1.0,0.9090909090909092,1.0
Podocyte,['NPHS2'],0.9195402298850576,1.0,1.0,0.6956521739130435
Pelvic epithelium,"['GPX2', 'CYP4B1']",0.9482758620689656,1.0,1.0,0.7857142857142857
Distinct proximal tubule 1,"['VCAM1', 'PROM1']",0.8080808080808081,1.0,0.9411764705882352,0.5161290322580645
Epithelial progenitor cell,"['TCIM', 'CLDN3']",0.7194244604316546,0.5161008834838867,0.8695652173913043,0.425531914893617
Principal cell,"['PTGER1', 'MNS1']",0.8461538461538461,1.0,0.9777777777777776,0.55
Connecting tubule,"['CALB1', 'TMEM52B']",0.8149779735682819,1.0,0.902439024390244,0.5873015873015873
Type B intercalated cell,"['SLC26A4', 'TSPAN8']",0.9367945823927766,1.0,0.976470588235294,0.8058252427184466
Type A intercalated cell,"['SLC4A1', 'SLC26A7']",0.8616010854816825,1.0,0.9338235294117648,0.6580310880829016
CD4 T cell,"['IL7R', 'LTB']",0.7607722797596216,0.5440124273300171,0.8629441624365483,0.5162689804772235
CD8 T cell,"['GZMK', 'ENSG00000277734']",0.6388075592227841,0.6809883713722229,0.6818181818181818,0.51009564293305
NKT cell,"['CD3G', 'GZMH', 'GNLY']",0.7697876447876448,0.6357922554016113,0.9382352941176472,0.4480337078651685
NK cell,"['KLRF1', 'KLRB1']",0.8678440925700366,1.0,0.9057203389830508,0.7434782608695653
Distinct proximal tubule 2,"['NDUFAF3', 'C11orf54', 'CRYAB']",0.017910447761194,0.3854859471321106,0.0144927536231884,0.3157894736842105
Glomerular endothelium,"['SOST', 'CRHBP']",0.8940972222222222,0.8549020290374756,0.9648711943793912,0.6912751677852349
Peritubular capillary endothelium 1,"['CA4', 'PLVAP']",0.7647345348270823,0.7368946075439453,0.8971428571428571,0.4808575803981623
Ascending vasa recta endothelium,"['TFPI', 'PLVAP']",0.4845154845154845,0.5413792133331299,0.5105263157894737,0.4024896265560166
Descending vasa recta endothelium,['CLDN5'],0.4915514592933948,0.5124024748802185,0.5245901639344263,0.3926380368098159
Peritubular capillary endothelium 2,"['PI16', 'ADAMTS6']",0.8286252354048964,1.0,0.9565217391304348,0.5398773006134969
Indistinct intercalated cell,"['ZDHHC3', 'COX7A1']",0.4166666666666667,0.7302246689796448,1.0,0.125
Thick ascending limb of Loop of Henle,['DUSP9'],0.7414104882459313,1.0,0.8159203980099502,0.543046357615894
Proximal tubule,['MIOX'],0.8818152916865363,0.5036191344261169,0.966744118501307,0.6525191138992354
Proliferating Proximal Tubule,"['RIDA', 'GATM', 'GPX3', 'APOE']",0.0284629981024667,0.3491954505443573,0.0236220472440944,0.1578947368421052
Neutrophil,"['FCGR3B', 'CSF3R']",0.7983193277310925,1.0,0.95,0.4871794871794871
B cell,['CD79A'],0.8985786557456035,1.0,0.9313358302122348,0.7877507919746568
Plasmacytoid dendritic cell,"['PTCRA', 'SMPD3']",0.9615384615384616,1.0,1.0,0.8333333333333334
MNP-a/classical monocyte derived,"['VCAN', 'CSTA']",0.8111702127659575,0.7818443775177002,0.9289340101522844,0.538235294117647
MNP-b/non-classical monocyte derived,"['PELATON', 'LILRB2', 'HCK']",0.7928642220019821,1.0,0.898876404494382,0.5387205387205387
MNP-c/dendritic cell,"['CSF2RA', 'FCER1A']",0.746268656716418,0.9123313426971436,0.8791208791208791,0.4651162790697674
MNP-d/Tissue macrophage,['C1QC'],0.7942238267148014,1.0,0.8627450980392157,0.6027397260273972
Mast cell,['TPSAB1'],0.9803921568627452,1.0,0.975609756097561,1.0
