clusterName,gene
Gamma cells,ENSG00000108849
Delta cells,ENSG00000083067
Delta cells,ENSG00000144451
Delta cells,ENSG00000151952
Alpha cells,ENSG00000115263
Alpha cells,ENSG00000196090
Acinar-mix,ENSG00000142102
Acinar-mix,ENSG00000169783
Secretory acinar cells,ENSG00000179751
Secretory acinar cells,ENSG00000010438
Endothelial cells,ENSG00000184005
Endothelial cells,ENSG00000102755
Quiescent stellate cells,ENSG00000107796
Quiescent stellate cells,ENSG00000198467
Activated stellate cells,ENSG00000172260
Activated stellate cells,ENSG00000235904
Ductal cells,ENSG00000001626
MUC5B+ ductal cells,ENSG00000160180
Macrophages,ENSG00000169554
Macrophages,ENSG00000188641
Idling acinar cells,ENSG00000133019
Beta cells,ENSG00000254647
Beta cells,ENSG00000151789
