clusterName,NSForest_markers,f_score
Gamma cells,['ENSG00000108849'],0.9893048128342246
Delta cells,"['ENSG00000083067', 'ENSG00000144451', 'ENSG00000151952']",0.2817622950819672
Alpha cells,"['ENSG00000115263', 'ENSG00000196090']",0.7562408223201175
Acinar-mix,"['ENSG00000142102', 'ENSG00000169783']",0.6081081081081081
Secretory acinar cells,"['ENSG00000179751', 'ENSG00000010438']",0.7390035438815926
Endothelial cells,"['ENSG00000184005', 'ENSG00000102755']",0.7059245102723364
Quiescent stellate cells,"['ENSG00000107796', 'ENSG00000198467']",0.4856115107913669
Activated stellate cells,"['ENSG00000172260', 'ENSG00000235904']",0.6690727373681288
Ductal cells,['ENSG00000001626'],0.8430189681111537
MUC5B+ ductal cells,['ENSG00000160180'],0.3571428571428571
Macrophages,"['ENSG00000169554', 'ENSG00000188641']",0.4358974358974359
Idling acinar cells,['ENSG00000133019'],0.5959302325581395
Beta cells,"['ENSG00000254647', 'ENSG00000151789']",0.7776850306065665
