clusterName,NSForest_markers,f_score,onTarget,precision,recall
Gamma cells,['ENSG00000108849'],0.9893048128342246,1.0,0.9866666666666668,1.0
Delta cells,"['ENSG00000083067', 'ENSG00000144451', 'ENSG00000151952']",0.2817622950819672,0.3645563721656799,0.3333333333333333,0.1740506329113924
Alpha cells,"['ENSG00000115263', 'ENSG00000196090']",0.7562408223201175,1.0,0.8747346072186837,0.4904761904761904
Acinar-mix,"['ENSG00000142102', 'ENSG00000169783']",0.6081081081081081,1.0,0.7766179540709812,0.3255542590431738
Secretory acinar cells,"['ENSG00000179751', 'ENSG00000010438']",0.7390035438815926,0.8120827674865723,0.8026198754750545,0.5611079706048615
Endothelial cells,"['ENSG00000184005', 'ENSG00000102755']",0.7059245102723364,1.0,0.9547657512116317,0.3456140350877193
Quiescent stellate cells,"['ENSG00000107796', 'ENSG00000198467']",0.4856115107913669,1.0,0.7941176470588235,0.1901408450704225
Activated stellate cells,"['ENSG00000172260', 'ENSG00000235904']",0.6690727373681288,1.0,0.9737373737373738,0.2971639950678175
Ductal cells,['ENSG00000001626'],0.8430189681111537,1.0,0.8888111344374465,0.6989727283844931
MUC5B+ ductal cells,['ENSG00000160180'],0.3571428571428571,1.0,0.7777777777777778,0.1129032258064516
Macrophages,"['ENSG00000169554', 'ENSG00000188641']",0.4358974358974359,1.0,0.8018867924528302,0.1542649727767695
Idling acinar cells,['ENSG00000133019'],0.5959302325581395,0.3469068109989166,0.6544487141590305,0.4389373513084853
Beta cells,"['ENSG00000254647', 'ENSG00000151789']",0.7776850306065665,1.0,0.9621342512908778,0.4401574803149606
