,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells
ENSG00000006071,0.0,0.0,1.6175039,2.202756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099204,0.0,0.0,2.1449623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000228262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1038404,0.0,0.0,0.0
ENSG00000107796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3861609,0.0
ENSG00000186094,0.0,0.0,1.9577242,2.3003511,2.2855015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170776,2.4384074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127914,1.7432463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0152907
ENSG00000240038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7105613
ENSG00000196975,0.0,0.0,0.0,0.0,0.0,2.5940526,0.0,0.0,0.0,2.5097146,0.0,0.0,0.0
ENSG00000138639,1.3571138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185305,0.0,0.0,1.8208905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142102,2.5620005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122870,0.0,0.0,0.0,0.0,0.0,3.4850192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204217,0.0,0.0,0.0,0.0,0.0,0.0,1.634546,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148655,1.5665371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154274,1.863557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141837,0.0,0.0,3.0751994,2.15112,2.787722,0.0,0.0,1.6864215,0.0,0.0,0.0,0.0,0.0
ENSG00000157388,0.0,0.0,2.0265174,1.8466133,2.0558083,0.0,0.0,1.8100431,0.0,0.0,0.0,0.0,0.0
ENSG00000153956,0.0,0.0,0.0,0.860273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000165995,0.0,0.0,2.8089519,0.0,2.4694486,0.0,0.0,2.012533,0.0,0.0,0.0,0.0,0.0
ENSG00000182985,0.0,0.0,0.0,1.7126086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163618,0.0,0.0,1.9629024,1.6424067,2.0512338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122786,0.0,2.7618155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119515,0.0
ENSG00000183049,2.093079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184305,0.0,0.0,0.0,0.8580235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000019582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.510592,0.0,0.0
ENSG00000170835,3.6409683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.824522
ENSG00000215704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3139524
ENSG00000142789,4.5378075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.635825
ENSG00000219073,4.134975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8459744
ENSG00000001626,0.0,0.0,0.0,0.0,0.0,4.154991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000089199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3017843,0.0,0.0,0.0,0.0,0.0
ENSG00000106069,1.9622874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133019,2.9069579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083477,0.0,0.0,0.0,1.0154347
ENSG00000154080,0.0,0.0,1.639585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144619,0.0,0.0,2.056117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149972,0.0,0.0,0.0,0.43280655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6839256,0.0,0.0,0.0,0.0,0.0
ENSG00000187498,0.0,2.0083642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8565505,0.0
ENSG00000134871,0.0,2.2728481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1619287,0.0
ENSG00000142173,0.0,2.0601275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9407511,0.0
ENSG00000091704,4.2976866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4446783
ENSG00000158516,3.7317188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73362
ENSG00000153002,3.5462847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.263765
ENSG00000109472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2519104,0.0,0.0,0.0,0.0,0.0
ENSG00000103196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9806391,0.0
