software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,Gamma cells,74,0.9893048128342246,0.9866666666666668,1.0,79292,1,0,74,1,['ENSG00000108849'],"['ENSG00000108849', 'ENSG00000089199', 'ENSG00000155052', 'ENSG00000005108', 'ENSG00000109472', 'ENSG00000126733', 'ENSG00000204442', 'ENSG00000157168', 'ENSG00000147481', 'ENSG00000145934']",1.0
4.1,Curated_annotation,Delta cells,316,0.2817622950819672,0.3333333333333333,0.1740506329113924,78941,110,261,55,3,"['ENSG00000083067', 'ENSG00000144451', 'ENSG00000151952']","['ENSG00000145087', 'ENSG00000083067', 'ENSG00000125851', 'ENSG00000144451', 'ENSG00000151952', 'ENSG00000182674', 'ENSG00000183098', 'ENSG00000145934', 'ENSG00000164756', 'ENSG00000141837']",0.3645563721656799
4.1,Curated_annotation,Alpha cells,840,0.7562408223201175,0.8747346072186837,0.4904761904761904,78468,59,428,412,2,"['ENSG00000115263', 'ENSG00000196090']","['ENSG00000118271', 'ENSG00000115263', 'ENSG00000078098', 'ENSG00000196090', 'ENSG00000185352', 'ENSG00000105738', 'ENSG00000176204', 'ENSG00000125851', 'ENSG00000147481', 'ENSG00000183098']",1.0
4.1,Curated_annotation,Acinar-mix,3428,0.6081081081081081,0.7766179540709812,0.3255542590431738,75618,321,2312,1116,2,"['ENSG00000142102', 'ENSG00000169783']","['ENSG00000142102', 'ENSG00000169783', 'ENSG00000245532', 'ENSG00000214548', 'ENSG00000109906', 'ENSG00000164266', 'ENSG00000134569', 'ENSG00000096060', 'ENSG00000085276', 'ENSG00000171105']",1.0
4.1,Curated_annotation,Secretory acinar cells,17690,0.7390035438815926,0.8026198754750545,0.5611079706048615,59236,2441,7764,9926,2,"['ENSG00000179751', 'ENSG00000010438']","['ENSG00000179751', 'ENSG00000215704', 'ENSG00000243480', 'ENSG00000170890', 'ENSG00000010438', 'ENSG00000091704', 'ENSG00000142789', 'ENSG00000115386', 'ENSG00000219073', 'ENSG00000162438']",0.8120827674865723
4.1,Curated_annotation,Endothelial cells,1710,0.7059245102723364,0.9547657512116317,0.3456140350877193,77629,28,1119,591,2,"['ENSG00000184005', 'ENSG00000102755']","['ENSG00000174640', 'ENSG00000184005', 'ENSG00000102755', 'ENSG00000127329', 'ENSG00000169744', 'ENSG00000125968', 'ENSG00000117461', 'ENSG00000164035', 'ENSG00000110799', 'ENSG00000081189']",1.0
4.1,Curated_annotation,Quiescent stellate cells,142,0.4856115107913669,0.7941176470588235,0.1901408450704225,79218,7,115,27,2,"['ENSG00000107796', 'ENSG00000198467']","['ENSG00000107796', 'ENSG00000145012', 'ENSG00000101335', 'ENSG00000198467', 'ENSG00000149591', 'ENSG00000113721', 'ENSG00000095637', 'ENSG00000103196', 'ENSG00000185532', 'ENSG00000122786']",1.0
4.1,Curated_annotation,Activated stellate cells,1622,0.6690727373681288,0.9737373737373738,0.2971639950678175,77732,13,1140,482,2,"['ENSG00000172260', 'ENSG00000235904']","['ENSG00000196569', 'ENSG00000172260', 'ENSG00000182463', 'ENSG00000183580', 'ENSG00000185565', 'ENSG00000235904', 'ENSG00000144642', 'ENSG00000069667', 'ENSG00000187498', 'ENSG00000142173']",1.0
4.1,Curated_annotation,Ductal cells,16354,0.8430189681111537,0.8888111344374465,0.6989727283844931,61583,1430,4923,11431,1,['ENSG00000001626'],"['ENSG00000001626', 'ENSG00000170927', 'ENSG00000122870', 'ENSG00000080493', 'ENSG00000107249', 'ENSG00000196482', 'ENSG00000151276', 'ENSG00000184384', 'ENSG00000196975']",1.0
4.1,Curated_annotation,MUC5B+ ductal cells,62,0.3571428571428571,0.7777777777777778,0.1129032258064516,79303,2,55,7,1,['ENSG00000160180'],"['ENSG00000160180', 'ENSG00000138771', 'ENSG00000197956', 'ENSG00000103534', 'ENSG00000148346', 'ENSG00000162896', 'ENSG00000184672', 'ENSG00000099139', 'ENSG00000171345', 'ENSG00000119547']",1.0
4.1,Curated_annotation,Macrophages,551,0.4358974358974359,0.8018867924528302,0.1542649727767695,78795,21,466,85,2,"['ENSG00000169554', 'ENSG00000188641']","['ENSG00000169554', 'ENSG00000019582', 'ENSG00000120594', 'ENSG00000188641']",1.0
4.1,Curated_annotation,Idling acinar cells,35308,0.5959302325581395,0.6544487141590305,0.4389373513084853,35876,8183,19810,15498,1,['ENSG00000133019'],"['ENSG00000133019', 'ENSG00000124232']",0.3469068109989166
4.1,Curated_annotation,Beta cells,1270,0.7776850306065665,0.9621342512908778,0.4401574803149606,78075,22,711,559,2,"['ENSG00000254647', 'ENSG00000151789']","['ENSG00000254647', 'ENSG00000151789', 'ENSG00000048052', 'ENSG00000184305', 'ENSG00000102466', 'ENSG00000150672', 'ENSG00000083067', 'ENSG00000006071', 'ENSG00000157168', 'ENSG00000126733']",1.0
